X,Y,FID,Call_Taken,Customer,Location,Latitude,Longitude,Snow_Emerg,Day,Ward,Neighborho,Community,Tow_Dist
-93.251139,44.933299,34,02/26/2018 01:51pm,Snow Emergency,"3822 16th Ave South,Minneapolis,MN",44.933299,-93.251139,Yardville,2,8,Bancroft,Powderhorn,6
-93.219813,44.905377,35,02/26/2018 02:00am,Snow Emergency,"3640 54th St E,Minneapolis,MN",44.905377,-93.219813,Yardville,1,12,Minnehaha,Nokomis,6
-93.252444,44.908744,36,02/26/2018 02:03am,Snow Emergency,"5200 BLOCK BLOOMINGTON AVE ,Minneapolis,MN",44.908744,-93.252444,Yardville,1,11,Hale,Nokomis,6
-93.225005,44.939572,37,02/26/2018 02:07am,Snow Emergency,"3250 35th St E,Minneapolis,MN",44.939572,-93.225005,Yardville,1,12,Howe,Longfellow,6
-93.230692,44.942687,38,02/26/2018 02:09am,Snow Emergency,"3300-3399 Minnehaha Avenue South,Minneapolis,MN",44.942687,-93.230692,Yardville,1,9,Longfellow,Longfellow,6
-93.232039,44.942952,39,02/26/2018 02:09am,Snow Emergency,"2800 33st ST e,Minneapolis,MN",44.942952,-93.232039,Yardville,1,9,Longfellow,Longfellow,6
-93.258863,44.947943,40,02/26/2018 02:11pm,Snow Emergency,"3008 11th av s,Minneapolis,MN",44.947943,-93.258863,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.231585,44.945766,41,02/26/2018 02:16pm,Snow Emergency,"3146 28TH AVE S,Minneapolis,MN",44.945766,-93.231585,Yardville,2,2,Longfellow,Longfellow,6
-93.231929,44.944599,42,02/26/2018 02:24am,Snow Emergency,"3200 minnehaha AVE S,Minneapolis,MN",44.944599,-93.231929,Yardville,1,9,Longfellow,Longfellow,6
-93.229869,44.942357,43,02/26/2018 02:26am,Snow Emergency,"3320 MINNEHAHA AVE S,Minneapolis,MN",44.942357,-93.229869,Yardville,1,9,Longfellow,Longfellow,6
-93.231929,44.944599,44,02/26/2018 02:27am,Snow Emergency,"3200 minnehaha AVE S,Minneapolis,MN",44.944599,-93.231929,Yardville,1,9,Longfellow,Longfellow,6
-93.261565,44.93853,45,02/26/2018 02:27pm,Snow Emergency,"3530 ELLIOT AVE,Minneapolis,MN",44.93853,-93.261565,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.226443,44.937064,46,02/26/2018 02:28am,Snow Emergency,"3620 MINNEHAHA AVE S,Minneapolis,MN",44.937064,-93.226443,Yardville,1,12,Howe,Longfellow,6
-93.224214,44.899102,47,02/26/2018 02:29pm,Snow Emergency,"5736 33rd ave s,Minneapolis,MN",44.899102,-93.224214,Yardville,2,11,Wenonah,Nokomis,6
-93.2423,44.940419,48,02/26/2018 02:30pm,Snow Emergency,"3426 21ST AVE S,Minneapolis,MN",44.940419,-93.2423,Yardville,2,9,Corcoran,Powderhorn,6
-93.240981,44.945965,49,02/26/2018 02:31pm,Snow Emergency,"3116 22ND AVE S,Minneapolis,MN",44.945965,-93.240981,Yardville,2,9,Corcoran,Powderhorn,6
-93.247513,44.928642,50,02/26/2018 02:38pm,Snow Emergency,"1820 41st st e,Minneapolis,MN",44.928642,-93.247513,Yardville,2,8,Bancroft,Powderhorn,6
-93.226764,44.937605,51,02/26/2018 02:47am,Snow Emergency,"3600-3699 Minnehaha Avenue,Minneapolis,MN",44.937605,-93.226764,Yardville,1,12,Howe,Longfellow,6
-93.251103,44.943153,52,02/26/2018 02:52pm,Snow Emergency,"1606 33rd st e,Minneapolis,MN",44.943153,-93.251103,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.225548,44.935761,53,02/26/2018 02:53am,Snow Emergency,"3700 minnehaha ave,Minneapolis,MN",44.935761,-93.225548,Yardville,1,12,Howe,Longfellow,6
-93.233255,44.928844,54,02/26/2018 02:54pm,Snow Emergency,"2710 41st st e,Minneapolis,MN",44.928844,-93.233255,Yardville,2,12,Standish,Powderhorn,6
-93.221112,44.928925,55,02/26/2018 02:56pm,Snow Emergency,"3516 41st st,Minneapolis,MN",44.928925,-93.221112,Yardville,2,12,Hiawatha,Longfellow,6
-93.237525,44.943767,56,02/26/2018 02:58pm,Snow Emergency,"3228 24th ave,Minneapolis,MN",44.943767,-93.237525,Yardville,2,9,Corcoran,Powderhorn,6
-93.22971,44.942567,57,02/26/2018 03:14am,Snow Emergency,"3317 MINNEHAHA AVE S,Minneapolis,MN",44.942567,-93.22971,Yardville,2,2,Longfellow,Longfellow,6
-93.22328,44.933315,58,02/26/2018 03:15am,Snow Emergency,"3830 MINNEHAHA AVE S,Minneapolis,MN",44.933315,-93.22328,Yardville,1,12,Howe,Longfellow,6
-93.226764,44.937605,59,02/26/2018 03:20am,Snow Emergency,"3600 Minnehaha Ave,Minneapolis,MN",44.937605,-93.226764,Yardville,1,12,Howe,Longfellow,6
-93.224845,44.935471,60,02/26/2018 03:25am,Snow Emergency,"3701-3799 Minnehaha Avenue,Minneapolis,MN",44.935471,-93.224845,Yardville,1,12,Howe,Longfellow,6
-93.225226,44.935974,61,02/26/2018 03:36am,Snow Emergency,"3698 Minnehaha Ave,Minneapolis,MN",44.935974,-93.225226,Yardville,1,12,Howe,Longfellow,6
-93.216774,44.924326,62,02/26/2018 04:25am,Snow Emergency,"4329 MINNEHAHA AVE S,Minneapolis,MN",44.924326,-93.216774,Yardville,1,12,Hiawatha,Longfellow,6
-93.217814,44.924497,63,02/26/2018 04:26am,Snow Emergency,"4320 MINNEHAHA AVE S,Minneapolis,MN",44.924497,-93.217814,Yardville,1,12,Hiawatha,Longfellow,6
-93.25519,44.939322,64,02/26/2018 08:33am,Snow Emergency,"3504 14th ave s ,Minneapolis,MN",44.939322,-93.25519,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.25521,44.938137,65,02/26/2018 08:53am,Snow Emergency,"3538 14th ave S,Minneapolis,MN",44.938137,-93.25521,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.2552,44.938055,66,02/26/2018 08:54am,Snow Emergency,"3542 14th ave,Minneapolis,MN",44.938055,-93.2552,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.2552,44.929309,67,02/26/2018 09:00am,Snow Emergency,"4040 14th av s,Minneapolis,MN",44.929309,-93.2552,Yardville,2,8,Bancroft,Powderhorn,6
-93.256496,44.924461,68,02/26/2018 09:21am,Snow Emergency,"4318 13th ave s,Minneapolis,MN",44.924461,-93.256496,Yardville,2,11,Northrop,Nokomis,6
-93.257465,44.929475,69,02/26/2018 09:34am,Snow Emergency,"4034 12th ave s ,Minneapolis,MN",44.929475,-93.257465,Yardville,2,8,Bancroft,Powderhorn,6
-93.254562,44.930524,70,02/26/2018 09:49am,Snow Emergency,"1428 40th st E,Minneapolis,MN",44.930524,-93.254562,Yardville,2,8,Bancroft,Powderhorn,6
-93.2552,44.93452,71,02/26/2018 09:51am,Snow Emergency,"3736 14th ave,Minneapolis,MN",44.93452,-93.2552,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.257754,44.928398,72,02/26/2018 10:02am,Snow Emergency,"4108 12th ave s,Minneapolis,MN",44.928398,-93.257754,Yardville,2,8,Bancroft,Powderhorn,6
-93.257754,44.935577,73,02/26/2018 10:07am,Snow Emergency,"3708 12th av s,Minneapolis,MN",44.935577,-93.257754,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.254934,44.930335,74,02/26/2018 10:18am,Snow Emergency,"4002 14TH AVE S ,Minneapolis,MN",44.930335,-93.254934,Yardville,2,8,Bancroft,Powderhorn,6
-93.257459,44.930406,75,02/26/2018 10:21am,Snow Emergency,"4002 12TH AVE S,Minneapolis,MN",44.930406,-93.257459,Yardville,2,8,Bancroft,Powderhorn,6
-93.25376,44.946069,76,02/26/2018 10:21am,Snow Emergency,"3114 15th ave s,Minneapolis,MN",44.946069,-93.25376,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.258972,44.933429,77,02/26/2018 10:25am,Snow Emergency,"3820 11th ave s,Minneapolis,MN",44.933429,-93.258972,Yardville,2,8,Bancroft,Powderhorn,6
-93.253762,44.946291,78,02/26/2018 10:27am,Snow Emergency,"3106 15th ave s,Minneapolis,MN",44.946291,-93.253762,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.258753,44.938379,79,02/26/2018 10:42am,Snow Emergency,"3536 11th av s,Minneapolis,MN",44.938379,-93.258753,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.258773,44.940044,80,02/26/2018 10:42am,Snow Emergency,"3444 11th ave,Minneapolis,MN",44.940044,-93.258773,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.256457,44.929965,81,02/26/2018 10:44am,Snow Emergency,"4016 13th ave,Minneapolis,MN",44.929965,-93.256457,Yardville,2,8,Bancroft,Powderhorn,6
-93.253662,44.934634,82,02/26/2018 10:57am,Snow Emergency,"3734 15th ave s,Minneapolis,MN",44.934634,-93.253662,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.253925,44.946409,83,02/26/2018 11:01am,Snow Emergency,"3102 15TH AVE S,Minneapolis,MN",44.946409,-93.253925,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.259011,44.934813,84,02/26/2018 11:06am,Snow Emergency,"3736 11th ave s,Minneapolis,MN",44.934813,-93.259011,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.254129,44.946785,85,02/26/2018 11:06am,Snow Emergency,"3052 15TH AVE S,Minneapolis,MN",44.946785,-93.254129,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.260039,44.940151,86,02/26/2018 11:19am,Snow Emergency,"3440 10th av s,Minneapolis,MN",44.940151,-93.260039,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.251409,44.939092,87,02/26/2018 11:23am,Snow Emergency,"3512 16th Ave South,Minneapolis,MN",44.939092,-93.251409,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.250263,44.934497,88,02/26/2018 11:26am,Snow Emergency,"3748 17th Ave South,Minneapolis,MN",44.934497,-93.250263,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.261525,44.9245,89,02/26/2018 11:35am,Snow Emergency,"4320 Elliott Avenue,Minneapolis,MN",44.9245,-93.261525,Yardville,2,11,Northrop,Nokomis,6
-93.23121,44.942798,90,02/26/2018 11:44am,Snow Emergency,"2829 33RD ST E,Minneapolis,MN",44.942798,-93.23121,Yardville,2,9,Longfellow,Longfellow,6
-93.259603,44.930548,91,02/26/2018 11:46am,Snow Emergency,"1030 40th ST E,Minneapolis,MN",44.930548,-93.259603,Yardville,2,8,Bancroft,Powderhorn,6
-93.258717,44.934579,92,02/26/2018 11:47am,Snow Emergency,"3746 11th ave,Minneapolis,MN",44.934579,-93.258717,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.261525,44.934522,93,02/26/2018 11:49am,Snow Emergency,"3748 Elliot ave s,Minneapolis,MN",44.934522,-93.261525,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.25905,44.940205,94,02/26/2018 11:51am,Snow Emergency,"3440 11TH AVE S,Minneapolis,MN",44.940205,-93.25905,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.260347,44.940204,95,02/26/2018 11:52am,Snow Emergency,"3438 10TH AVE S,Minneapolis,MN",44.940204,-93.260347,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.261299,44.940042,96,02/26/2018 11:56am,Snow Emergency,"3444 Elliot av s,Minneapolis,MN",44.940042,-93.261299,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.252038,44.925954,97,02/26/2018 12:00am,Snow Emergency,"4225 BLOOMINGTON AVE S,Minneapolis,MN",44.925954,-93.252038,Yardville,1,8,Northrop,Nokomis,6
-93.252385,44.926183,98,02/26/2018 12:01am,Snow Emergency,"4220 BLOOMINGTON AVE S,Minneapolis,MN",44.926183,-93.252385,Yardville,1,8,Northrop,Nokomis,6
-93.249564,44.908925,99,02/26/2018 12:04am,Snow Emergency,"5165 Bloomington Ave S,Minneapolis,MN",44.908925,-93.249564,Yardville,1,11,Hale,Nokomis,6
-93.261238,44.933849,100,02/26/2018 12:06pm,Snow Emergency,"3806 Elliott Avenue,Minneapolis,MN",44.933849,-93.261238,Yardville,2,8,Bancroft,Powderhorn,6
-93.259977,44.934577,101,02/26/2018 12:06pm,Snow Emergency,"3746 10TH AVE S,Minneapolis,MN",44.934577,-93.259977,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.252725,44.937615,102,02/26/2018 12:08am,Snow Emergency,"3600 bloomington AVE S,Minneapolis,MN",44.937615,-93.252725,Yardville,1,9,Powderhorn Park,Powderhorn,6
-93.252411,44.935934,103,02/26/2018 12:10am,Snow Emergency,"3699 Bloomington Ave S,Minneapolis,MN",44.935934,-93.252411,Yardville,1,9,Powderhorn Park,Powderhorn,6
-93.252764,44.923145,104,02/26/2018 12:14am,Snow Emergency,"4400 Bloomington AVE S,Minneapolis,MN",44.923145,-93.252764,Yardville,1,11,Northrop,Nokomis,6
-93.252389,44.923145,105,02/26/2018 12:14am,Snow Emergency,"4400 BLOCK Bloomington Avenue,Minneapolis,MN",44.923145,-93.252389,Yardville,1,11,Northrop,Nokomis,6
-93.260307,44.938347,106,02/26/2018 12:14pm,Snow Emergency,"3536 10TH AVE S,Minneapolis,MN",44.938347,-93.260307,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.261295,44.939399,107,02/26/2018 12:16pm,Snow Emergency,"3504 Elliot Ave South,Minneapolis,MN",44.939399,-93.261295,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.261565,44.938275,108,02/26/2018 12:20pm,Snow Emergency,"3538 Elliot Ave South,Minneapolis,MN",44.938275,-93.261565,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.252476,44.944733,109,02/26/2018 12:23pm,Snow Emergency,"1526 32nd st e,Minneapolis,MN",44.944733,-93.252476,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.261525,44.933903,110,02/26/2018 12:29pm,Snow Emergency,"3804 Elliot ave s,Minneapolis,MN",44.933903,-93.261525,Yardville,2,8,Bancroft,Powderhorn,6
-93.252385,44.926606,111,02/26/2018 12:31am,Snow Emergency,"4200 BLOCK BLOOMINGTON AVE,Minneapolis,MN",44.926606,-93.252385,Yardville,1,8,Northrop,Nokomis,6
-93.261304,44.940919,112,02/26/2018 12:31pm,Snow Emergency,"3412 Elliot av s,Minneapolis,MN",44.940919,-93.261304,Yardville,2,9,Powderhorn Park,Powderhorn,6
-93.252457,44.94279,113,02/26/2018 12:37am,Snow Emergency,"3300 BLOCK BLOOMINGTON AVE ,Minneapolis,MN",44.94279,-93.252457,Yardville,1,9,Powderhorn Park,Powderhorn,6
-93.251205,44.946558,114,02/26/2018 12:54am,Snow Emergency,"1600 BLOCK 31 st e,Minneapolis,MN",44.946558,-93.251205,Yardville,1,9,Powderhorn Park,Powderhorn,6
-93.251205,44.946558,115,02/26/2018 12:54am,Snow Emergency,"1600 BLOCK 31 st e,Minneapolis,MN",44.946558,-93.251205,Yardville,1,9,Powderhorn Park,Powderhorn,6
-93.226294,44.898881,116,02/27/2018 01:00pm,Snow Emergency,"5745 Bossen Terr,Minneapolis,MN",44.898881,-93.226294,Yardville,3,11,Wenonah,Nokomis,6
-93.216322,44.92607,117,02/27/2018 12:06pm,Snow Emergency,"4229 39th Ave S,Minneapolis,MN",44.92607,-93.216322,Yardville,3,12,Hiawatha,Longfellow,6
-93.221347,44.947648,118,02/27/2018 12:08pm,Snow Emergency,"3019 35th Ave S,Minneapolis,MN",44.947648,-93.221347,Yardville,2,2,Longfellow,Longfellow,6
-93.233667,44.934111,119,02/27/2018 12:28pm,Snow Emergency,"2625 38th st e,Minneapolis,MN",44.934111,-93.233667,Yardville,3,12,Standish,Powderhorn,6
-93.226044,44.899443,120,02/27/2018 12:59pm,Snow Emergency,"5723 Bossen Terr,Minneapolis,MN",44.899443,-93.226044,Yardville,3,11,Wenonah,Nokomis,6
-93.270563,44.91881,121,02/25/2018 09:18pm,Snow Emergency,"4628 4TH AVE S,Minneapolis,MN",44.91881,-93.270563,Yardville,1,8,Field,Nokomis,5
-93.262882,44.944621,122,02/25/2018 09:24pm,Snow Emergency,"3200 BLOCK CHICAGO AVE S,Minneapolis,MN",44.944621,-93.262882,Yardville,1,9,Central,Powderhorn,5
-93.262665,44.946671,123,02/25/2018 09:31pm,Snow Emergency,"3100 BLOCK Chicago Avenue,Minneapolis,MN",44.946671,-93.262665,Yardville,1,9,Central,Powderhorn,5
-93.262979,44.946506,124,02/25/2018 09:33pm,Snow Emergency,"3100 Chicago ave ,Minneapolis,MN",44.946506,-93.262979,Yardville,1,9,Central,Powderhorn,5
-93.269817,44.931516,125,02/25/2018 09:38pm,Snow Emergency,"3925 4th Avenue South,Minneapolis,MN",44.931516,-93.269817,Yardville,1,8,Bryant,Powderhorn,5
-93.270945,44.923875,126,02/25/2018 09:42pm,Snow Emergency,"4352 4th Ave S,Minneapolis,MN",44.923875,-93.270945,Yardville,1,8,Regina,Nokomis,5
-93.26294,44.941224,127,02/25/2018 10:11pm,Snow Emergency,"3400 Chicago ave ,Minneapolis,MN",44.941224,-93.26294,Yardville,1,9,Central,Powderhorn,5
-93.262536,44.93762,128,02/25/2018 10:13pm,Snow Emergency,"3600 BLOCK Chicago Avenue,Minneapolis,MN",44.93762,-93.262536,Yardville,1,8,Central,Powderhorn,5
-93.262519,44.936206,129,02/25/2018 10:22pm,Snow Emergency,"3650 Chicago Ave S,Minneapolis,MN",44.936206,-93.262519,Yardville,1,8,Central,Powderhorn,5
-93.26261,44.943325,130,02/25/2018 10:27pm,Snow Emergency,"3250 Chicago Ave S,Minneapolis,MN",44.943325,-93.26261,Yardville,1,9,Central,Powderhorn,5
-93.269856,44.932827,131,02/25/2018 10:31pm,Snow Emergency,"3845 4th Avenue South,Minneapolis,MN",44.932827,-93.269856,Yardville,1,8,Bryant,Powderhorn,5
-93.270524,44.944213,132,02/25/2018 10:35pm,Snow Emergency,"3220 4th Avenue South,Minneapolis,MN",44.944213,-93.270524,Yardville,1,9,Central,Powderhorn,5
-93.262497,44.928581,133,02/25/2018 10:48pm,Snow Emergency,"4100 BLOCK Chicago Avenue,Minneapolis,MN",44.928581,-93.262497,Yardville,1,8,Bryant,Powderhorn,5
-93.263013,44.905013,134,02/25/2018 10:53pm,Snow Emergency,"5400 BLOCK CHICAGO AVE S,Minneapolis,MN",44.905013,-93.263013,Yardville,1,11,Page,Nokomis,5
-93.264206,44.900465,135,02/25/2018 10:56pm,Snow Emergency,"5600 BLOCK chicago AVE S,Minneapolis,MN",44.900465,-93.264206,Yardville,1,11,Diamond Lake,Nokomis,5
-93.262497,44.928581,136,02/25/2018 10:56pm,Snow Emergency,"4100 BLOCK CHICAGO AVE,Minneapolis,MN",44.928581,-93.262497,Yardville,1,8,Bryant,Powderhorn,5
-93.270289,44.948333,137,02/25/2018 10:59pm,Snow Emergency,"3000 block 4th ave s,Minneapolis,MN",44.948333,-93.270289,Yardville,1,9,Central,Powderhorn,5
-93.262777,44.943067,138,02/25/2018 11:01pm,Snow Emergency,"3300 BLOCK CHICAGO ABE,Minneapolis,MN",44.943067,-93.262777,Yardville,1,9,Central,Powderhorn,5
-93.264206,44.900465,139,02/25/2018 11:21pm,Snow Emergency,"5600 BLOCK Chicago Avenue,Minneapolis,MN",44.900465,-93.264206,Yardville,1,11,Diamond Lake,Nokomis,5
-93.270289,44.948333,140,02/25/2018 11:31pm,Snow Emergency,"3000 block 4th ave s,Minneapolis,MN",44.948333,-93.270289,Yardville,1,9,Central,Powderhorn,5
-93.29603,44.945171,141,02/26/2018 01:20pm,Snow Emergency,"3140 FREMONT AVE S,Minneapolis,MN",44.945171,-93.29603,Yardville,2,10,CARAG,Calhoun Isle,5
-93.288057,44.892079,142,02/26/2018 01:26am,Snow Emergency,"633 61st Street West,Minneapolis,MN",44.892079,-93.288057,Yardville,1,11,Windom,Southwest,5
-93.287807,44.892078,143,02/26/2018 01:30am,Snow Emergency,"595 61st Street West,Minneapolis,MN",44.892078,-93.287807,Yardville,1,11,Windom,Southwest,5
-93.295775,44.945979,144,02/26/2018 01:46pm,Snow Emergency,"3114 Fremont Ave South,Minneapolis,MN",44.945979,-93.295775,Yardville,2,10,CARAG,Calhoun Isle,5
-93.296049,44.945808,145,02/26/2018 01:52pm,Snow Emergency,"3120 freemont ave s,Minneapolis,MN",44.945808,-93.296049,Yardville,2,10,CARAG,Calhoun Isle,5
-93.295818,44.942109,146,02/26/2018 01:57pm,Snow Emergency,"3326 freemont ave s,Minneapolis,MN",44.942109,-93.295818,Yardville,2,10,CARAG,Calhoun Isle,5
-93.295772,44.946219,147,02/26/2018 01:57pm,Snow Emergency,"3108 Fremont Avenue South,Minneapolis,MN",44.946219,-93.295772,Yardville,2,10,CARAG,Calhoun Isle,5
-93.278463,44.905314,148,02/26/2018 01:59am,Snow Emergency,"5320 Nicollet Av,Minneapolis,MN",44.905314,-93.278463,Yardville,1,11,Tangletown,Southwest,5
-93.277569,44.917518,149,02/26/2018 02:29am,Snow Emergency,"4707 Nicollet Ave,Minneapolis,MN",44.917518,-93.277569,Yardville,1,11,Tangletown,Southwest,5
-93.288057,44.892079,150,02/26/2018 02:33am,Snow Emergency,"633 61st Street West,Minneapolis,MN",44.892079,-93.288057,Yardville,1,11,Windom,Southwest,5
-93.294548,44.940217,151,02/26/2018 02:33pm,Snow Emergency,"3430 Emerson Avenue South,Minneapolis,MN",44.940217,-93.294548,Yardville,2,10,CARAG,Calhoun Isle,5
-93.288057,44.892079,152,02/26/2018 02:36am,Snow Emergency,"633 61st Street West,Minneapolis,MN",44.892079,-93.288057,Yardville,1,11,Windom,Southwest,5
