X,Y,FID,Service_Da,Address,Tow_Reason,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
-93.311751000108529,44.993130999895754,18,04/16/2018 03:08pm,"1350 sheridan ave n ,Minneapolis,MN",Snow Emergency,44.993131,-93.311751,5,Near North,Willard - Hay,1,2,Howe
-93.311730000039447,44.99310000026486,19,04/16/2018 03:14pm,"1348 sheridan ave n ,Minneapolis,MN",Snow Emergency,44.9931,-93.31173,5,Near North,Willard - Hay,1,2,Howe
-93.275673000108839,44.964705000235654,20,04/16/2018 03:16pm,"1816 Steven ave s,Minneapolis,MN",Snow Emergency,44.964705,-93.275673,6,Central,Steven's Square - Loring Heights,3,2,Howe
-93.310752999950992,44.984997999857846,21,04/16/2018 03:18pm,"622 RUSSELL AVE N,Minneapolis,MN",Snow Emergency,44.984998,-93.310753,5,Near North,Willard - Hay,1,2,Howe
-93.218877999819824,44.971456000394134,22,04/16/2018 03:20pm,"2705 Delaware st se,Minneapolis,MN",Snow Emergency,44.971456,-93.218878,2,University,Prospect Park - East River Road,4,2,Howe
-93.221297999902731,44.972114000161014,23,04/16/2018 03:22pm,"2516 Delaware st se,Minneapolis,MN",Snow Emergency,44.972114,-93.221298,2,University,Prospect Park - East River Road,4,2,Howe
-93.292821000388813,45.022420999829301,24,04/16/2018 03:23pm,"3706 DuPont Ave n,Minneapolis,MN",Snow Emergency,45.022421,-93.292821,4,Camden,McKinley,1,2,Howe
-93.262926000434561,44.967394000133027,25,04/16/2018 03:23pm,"738 16th st e,Minneapolis,MN",Snow Emergency,44.967394,-93.262926,6,Central,Elliot Park,3,2,Howe
-93.289383000125326,44.948132000391588,26,04/16/2018 03:26pm,"3014 ALDRICH Av S,Minneapolis,MN",Snow Emergency,44.948132,-93.289383,10,Calhoun Isle,CARAG,5,2,Howe
-93.305434000178934,44.994011000007667,27,04/16/2018 03:28pm,"1430 Newton Ave N,Minneapolis,MN",Snow Emergency,44.994011,-93.305434,5,Near North,Willard - Hay,1,2,Howe
-93.230447000029017,44.989527000071057,28,04/16/2018 03:29pm,"1526 talmage ave se,Minneapolis,MN",Snow Emergency,44.989527,-93.230447,1,University,Como,4,2,Howe
-93.289685999709079,44.947689999793688,29,04/16/2018 03:30pm,"3018 ALDRICH AV S,Minneapolis,MN",Snow Emergency,44.94769,-93.289686,10,Calhoun Isle,CARAG,5,2,Howe
-93.221450999763817,44.93238399992174,30,04/16/2018 03:34pm,"3516 39th Street East,Minneapolis,MN",Snow Emergency,44.932384,-93.221451,12,Longfellow,Howe,6,2,Howe
-93.262951999834897,44.944324000152562,31,04/15/2018 09:25pm,"3210 Chicago Avenue South,Minneapolis,MN",Snow Emergency,44.944324,-93.262952,9,Powderhorn,Central,5,1,Howe
-93.226387999906265,44.951989000192263,32,04/16/2018 03:35pm,"3136 E 28th ST,Minneapolis,MN",Snow Emergency,44.951989,-93.226388,2,Longfellow,Longfellow,4,2,Howe
-93.292834000088988,45.022530000359268,33,04/16/2018 03:39pm,"3710 dupont Ave n ,Minneapolis,MN",Snow Emergency,45.02253,-93.292834,4,Camden,McKinley,1,2,Howe
-93.255354000186912,44.947229000118327,34,04/16/2018 03:42pm,"3038 14th ave s,Minneapolis,MN",Snow Emergency,44.947229,-93.255354,9,Powderhorn,Powderhorn Park,6,2,Howe
-93.230448000075114,44.988431999936878,35,04/16/2018 03:44pm,"1014 15th Ave se ,Minneapolis,MN",Snow Emergency,44.988432,-93.230448,1,University,Como,4,2,Howe
-93.281746999624318,44.959702999793642,36,04/16/2018 03:44pm,"2312 Pillsbury Ave s,Minneapolis,MN",Snow Emergency,44.959703,-93.281747,10,Powderhorn,Whittier,3,2,Howe
-93.228306000221721,44.985675999647697,37,04/16/2018 03:44pm,"930 17th Ave Se,Minneapolis,MN",Snow Emergency,44.985676,-93.228306,2,University,Como,4,2,Howe
-93.30569100033938,44.998756000289234,38,04/16/2018 03:46pm,"1900 newton ave n ,Minneapolis,MN",Snow Emergency,44.998756,-93.305691,5,Near North,Willard - Hay,1,2,Howe
-93.255357000325262,44.947196000395124,39,04/16/2018 03:46pm,"3040 14th Avenue South,Minneapolis,MN",Snow Emergency,44.947196,-93.255357,9,Powderhorn,Powderhorn Park,6,2,Howe
-93.275648999901364,44.963498000332486,40,04/16/2018 03:46pm,"1910 Steven ave s,Minneapolis,MN",Snow Emergency,44.963498,-93.275649,6,Central,Steven's Square - Loring Heights,3,2,Howe
-93.281695999970395,44.952571000051648,41,04/16/2018 03:48pm,"2734 Pillsbury Ave s,Minneapolis,MN",Snow Emergency,44.952571,-93.281696,10,Powderhorn,Whittier,3,2,Howe
-93.263071999972794,45.005271000356458,42,04/16/2018 03:48pm,"331 17th ave ne,Minneapolis,MN",Snow Emergency,45.005271,-93.263072,3,Northeast,Sheridan,2,2,Howe
-93.231709999816587,44.98861700037434,43,04/16/2018 03:50pm,"1024 14th ave se,Minneapolis,MN",Snow Emergency,44.988617,-93.23171,1,University,Como,4,2,Howe
-93.233612000293533,44.981966000330715,44,04/16/2018 03:20pm,"1416 6th St Se,Minneapolis,MN",Snow Emergency,44.981966,-93.233612,3,University,Marcy Holmes,4,2,Howe
-93.22950199961754,44.987937999639037,45,04/16/2018 03:51pm,"1002 16th ave se,Minneapolis,MN",Snow Emergency,44.987938,-93.229502,1,University,Como,4,2,Howe
-93.290351999844859,45.028110999622982,46,04/16/2018 03:51pm,"4014 Bryant Ave n ,Minneapolis,MN",Snow Emergency,45.028111,-93.290352,4,Camden,Webber - Camden,1,2,Howe
-93.231720000277733,44.988873999635416,47,04/16/2018 02:50pm,"1034 14th Ave Se,Minneapolis,MN",Snow Emergency,44.988874,-93.23172,1,University,Como,4,2,Howe
-93.306026999646292,44.989696999816708,48,04/16/2018 03:54pm,"1126 12th Ave N,Minneapolis,MN",Snow Emergency,44.989697,-93.306027,5,Near North,Near - North,1,2,Howe
-93.236372999913954,44.943159000387588,49,04/16/2018 03:54pm,"2426 33rd st e,Minneapolis,MN",Snow Emergency,44.943159,-93.236373,9,Powderhorn,Corcoran,6,2,Howe
-93.31435200044443,44.988102000007359,50,04/16/2018 03:54pm,"1000 UPTON AVE N,Minneapolis,MN",Snow Emergency,44.988102,-93.314352,5,Near North,Willard - Hay,1,2,Howe
-93.25995900030756,45.03504300003447,51,04/16/2018 03:55pm,"3658 5th st ne,Minneapolis,MN",Snow Emergency,45.035043,-93.259959,1,Northeast,Columbia Park,2,2,Howe
-93.299064999649985,45.020108000184116,52,04/16/2018 03:57pm,"3552 Irving Ave n,Minneapolis,MN",Snow Emergency,45.020108,-93.299065,4,Camden,Folwell,1,2,Howe
-93.230427000006003,44.988525999775106,53,04/16/2018 03:59pm,"1022 15th Ave Se,Minneapolis,MN",Snow Emergency,44.988526,-93.230427,1,University,Como,4,2,Howe
-93.284480999798291,44.959302000187222,54,04/16/2018 04:04pm,"2326 Grand Ave s ,Minneapolis,MN",Snow Emergency,44.959302,-93.284481,10,Powderhorn,Whittier,3,2,Howe
-93.30703200012664,44.993209999941591,55,04/16/2018 04:04pm,"2106 14th ave n ,Minneapolis,MN",Snow Emergency,44.99321,-93.307032,5,Near North,Willard - Hay,1,2,Howe
-93.231770999931655,44.943073000019005,56,04/16/2018 04:07pm,"2802 33rd st,Minneapolis,MN",Snow Emergency,44.943073,-93.231771,9,Longfellow,Longfellow,6,2,Howe
-93.227942999669665,44.936785999674214,57,04/16/2018 04:09pm,"3632 snelling,Minneapolis,MN",Snow Emergency,44.936786,-93.227943,12,Longfellow,Howe,6,2,Howe
-93.306026999646292,44.989696999816708,58,04/16/2018 04:10pm,"1124 12th Ave N,Minneapolis,MN",Snow Emergency,44.989697,-93.306027,5,Near North,Near - North,1,2,Howe
-93.264934999550576,44.966490999859786,59,04/16/2018 04:19pm,"706 17th st e,Minneapolis,MN",Snow Emergency,44.966491,-93.264935,6,Central,Elliot Park,3,2,Howe
-93.298930999765787,44.986338999645163,60,04/16/2018 04:22pm,"1120 8th Ave n,Minneapolis,MN",Snow Emergency,44.986339,-93.298931,5,Near North,Near - North,1,2,Howe
-93.314364000098465,44.99298699955046,61,04/16/2018 04:30pm,"1344 UPTON AVE N,Minneapolis,MN",Snow Emergency,44.992987,-93.314364,5,Near North,Willard - Hay,1,2,Howe
-93.292288000091105,44.98927200000287,62,04/16/2018 04:33pm,"940 11th Ave N,Minneapolis,MN",Snow Emergency,44.989272,-93.292288,5,Near North,Near - North,1,2,Howe
-93.241229999964503,44.998471999783014,63,04/16/2018 04:34pm,"754 Pierce St NE,Minneapolis,MN",Snow Emergency,44.998472,-93.24123,3,Northeast,Beltrami,2,2,Howe
-93.23136900027913,44.940963999888709,64,04/16/2018 04:37pm,"3404 Snelling Avenue South,Minneapolis,MN",Snow Emergency,44.940964,-93.231369,12,Longfellow,Howe,6,2,Howe
-93.229247999595486,44.988785000027796,65,04/16/2018 04:39pm,"1030 16th ave se,Minneapolis,MN",Snow Emergency,44.988785,-93.229248,1,University,Como,4,2,Howe
-93.231246000002841,44.940851000073621,66,04/16/2018 04:41pm,"3408 Snelling Avenue South,Minneapolis,MN",Snow Emergency,44.940851,-93.231246,12,Longfellow,Howe,6,2,Howe
-93.286165000114622,44.997037000157491,67,04/17/2018 08:15am,"1711 lyn park ave n ,Minneapolis,MN",Snow Emergency,44.997037,-93.286165,5,Near North,Near - North,1,3,Howe
-93.286165000114622,44.997037000157491,68,04/17/2018 08:21am,"1711 lyn park ave n ,Minneapolis,MN",Snow Emergency,44.997037,-93.286165,5,Near North,Near - North,1,3,Howe
-93.283793999593343,45.010042000038304,69,04/17/2018 08:25am,"2915 3rd st n ,Minneapolis,MN",Snow Emergency,45.010042,-93.283794,5,Near North,Hawthorne,1,3,Howe
-93.250431999836906,44.988111999569185,70,04/17/2018 08:29am,"511 3rd ave se,Minneapolis,MN",Snow Emergency,44.988112,-93.250432,3,University,Marcy Holmes,4,3,Howe
-93.251913999831174,44.986255000268102,71,04/17/2018 08:33am,"321 3rd ave se,Minneapolis,MN",Snow Emergency,44.986255,-93.251914,3,University,Marcy Holmes,4,3,Howe
-93.258363999598885,44.990996000365158,72,04/17/2018 08:34am,"303 3rd ave ne,Minneapolis,MN",Snow Emergency,44.990996,-93.258364,3,Northeast,St. Anthony West,2,3,Howe
-93.257617000224329,44.990791999950886,73,04/17/2018 08:37am,"325 3rd ave ne,Minneapolis,MN",Snow Emergency,44.990792,-93.257617,3,Northeast,St. Anthony West,2,3,Howe
-93.288677999989659,44.983462000071306,74,04/17/2018 08:41am,"827 Lyndale place,Minneapolis,MN",Snow Emergency,44.983462,-93.288678,5,Near North,Sumner - Glenwood,3,3,Howe
-93.258308999760516,44.991015000342024,75,04/17/2018 08:41am,"305 3rd ave ne,Minneapolis,MN",Snow Emergency,44.991015,-93.258309,3,Northeast,St. Anthony West,2,3,Howe
-93.254631000120526,44.992471000036694,76,04/17/2018 08:44am,"503 3rd ave ne,Minneapolis,MN",Snow Emergency,44.992471,-93.254631,3,Northeast,St. Anthony East,2,3,Howe
-93.288797000081459,44.985416000248271,77,04/17/2018 08:45am,"747 lyndale ave n ,Minneapolis,MN",Snow Emergency,44.985416,-93.288797,5,Near North,Sumner - Glenwood,1,3,Howe
-93.27936000016382,44.968788999712601,78,04/17/2018 08:46am,"105 14th st w,Minneapolis,MN",Snow Emergency,44.968789,-93.27936,7,Central,Loring Park,3,3,Howe
-93.232740999697342,44.930503000413182,79,04/17/2018 08:47am,"2725 40th Street East,Minneapolis,MN",Snow Emergency,44.930503,-93.232741,12,Powderhorn,Standish,6,3,Howe
-93.286898999788932,45.000852999866083,80,04/17/2018 08:48am,"2119 6th St n,Minneapolis,MN",Snow Emergency,45.000853,-93.286899,5,Near North,Hawthorne,1,3,Howe
-93.290969999565803,44.98658700028988,81,04/17/2018 08:51am,"829 Aldrich ave n ,Minneapolis,MN",Snow Emergency,44.986587,-93.29097,5,Near North,Sumner - Glenwood,1,3,Howe
-93.279400000209819,44.968788999712601,82,04/17/2018 08:55am,"113 14TH ST W,Minneapolis,MN",Snow Emergency,44.968789,-93.2794,7,Central,Loring Park,3,3,Howe
-93.279369999725631,44.968788999712601,83,04/17/2018 08:58am,"107 14TH ST W,Minneapolis,MN",Snow Emergency,44.968789,-93.27937,7,Central,Loring Park,3,3,Howe
-93.279380000186862,44.968788999712601,84,04/17/2018 09:05am,"109 14th st w,Minneapolis,MN",Snow Emergency,44.968789,-93.27938,7,Central,Loring Park,3,3,Howe
-93.246811000127536,44.98536199955668,85,04/17/2018 09:06am,"409 6th ave se,Minneapolis,MN",Snow Emergency,44.985362,-93.246811,3,University,Marcy Holmes,4,3,Howe
-93.261227000325789,44.932354000336886,86,04/17/2018 09:07am,"901 39th St E,Minneapolis,MN",Snow Emergency,44.932354,-93.261227,8,Powderhorn,Bancroft,6,3,Howe
-93.258341000336884,44.995379000140808,87,04/17/2018 09:08am,"423 6th ave ne,Minneapolis,MN",Snow Emergency,44.995379,-93.258341,3,Northeast,St. Anthony West,2,3,Howe
-93.289733000077831,44.98543999955637,88,04/17/2018 09:10am,"721 Aldrich ave n ,Minneapolis,MN",Snow Emergency,44.98544,-93.289733,5,Near North,Sumner - Glenwood,1,3,Howe
-93.294888000380865,44.989738999954916,89,04/17/2018 09:10am,"1211 Fremont Ave N,Minneapolis,MN",Snow Emergency,44.989739,-93.294888,5,Near North,Near - North,1,3,Howe
-93.253510999732853,44.944879999712278,90,04/17/2018 09:19am,"3159 15th ave,Minneapolis,MN",Snow Emergency,44.94488,-93.253511,9,Powderhorn,Powderhorn Park,6,3,Howe
-93.250996999811662,44.947502000117254,91,04/17/2018 09:21am,"3025 16th ave,Minneapolis,MN",Snow Emergency,44.947502,-93.250997,9,Powderhorn,Powderhorn Park,6,3,Howe
-93.263824999623978,44.996995000019297,92,04/17/2018 09:27am,"209 9th ave ne,Minneapolis,MN",Snow Emergency,44.996995,-93.263825,3,Northeast,St. Anthony West,2,3,Howe
-93.244550000182315,44.987876000377177,93,04/17/2018 09:28am,"701 6th ave se,Minneapolis,MN",Snow Emergency,44.987876,-93.24455,3,University,Marcy Holmes,4,3,Howe
-93.245094000087988,44.987525000378511,94,04/17/2018 09:31am,"629 6th ave se,Minneapolis,MN",Snow Emergency,44.987525,-93.245094,3,University,Marcy Holmes,4,3,Howe
-93.292927999927201,44.998272999599294,95,04/17/2018 09:33am,"1827 dupont ave n ,Minneapolis,MN",Snow Emergency,44.998273,-93.292928,5,Near North,Near - North,1,3,Howe
-93.279389999748673,44.968788999712601,96,04/17/2018 09:34am,"111 14th st w,Minneapolis,MN",Snow Emergency,44.968789,-93.27939,7,Central,Loring Park,3,3,Howe
-93.244486999975038,44.988499000328652,97,04/17/2018 09:36am,"713 6th ave se,Minneapolis,MN",Snow Emergency,44.988499,-93.244487,3,University,Marcy Holmes,4,3,Howe
-93.303394999679483,44.946549000236239,98,04/17/2018 09:37am,"3101 James ave s,Minneapolis,MN",Snow Emergency,44.946549,-93.303395,10,Calhoun Isle,ECCO,5,3,Howe
-93.248197000191396,44.986098000222562,99,04/17/2018 09:37am,"423 5th ave se,Minneapolis,MN",Snow Emergency,44.986098,-93.248197,3,University,Marcy Holmes,4,3,Howe
-93.289895000353965,44.999898999938921,100,04/17/2018 09:38am,"2021 aldrich ave n ,Minneapolis,MN",Snow Emergency,44.999899,-93.289895,5,Near North,Hawthorne,1,3,Howe
-93.303054000141984,44.946948999796575,101,04/17/2018 09:38am,"3043 James ave s,Minneapolis,MN",Snow Emergency,44.946949,-93.303054,10,Calhoun Isle,ECCO,5,3,Howe
-93.286706999928072,45.011361999756552,102,04/17/2018 09:41am,"3019 6th St n,Minneapolis,MN",Snow Emergency,45.011362,-93.286707,5,Near North,Hawthorne,1,3,Howe
-93.259216000218188,44.995263000187379,103,04/17/2018 09:42am,"605 4th st ne,Minneapolis,MN",Snow Emergency,44.995263,-93.259216,3,Northeast,St. Anthony West,2,3,Howe
-93.253392999687151,44.935263999633932,104,04/17/2018 09:42am,"3717 15th Avenue South,Minneapolis,MN",Snow Emergency,44.935264,-93.253393,9,Powderhorn,Powderhorn Park,6,3,Howe
-93.241521999940289,44.987486000378688,105,04/17/2018 09:43am,"723 8th ave se,Minneapolis,MN",Snow Emergency,44.987486,-93.241522,3,University,Marcy Holmes,4,3,Howe
-93.255957000115416,44.996450000067505,106,04/17/2018 09:45am,"647 adams st ne,Minneapolis,MN",Snow Emergency,44.99645,-93.255957,3,Northeast,St. Anthony East,2,3,Howe
-93.299357999671884,44.940998999704107,107,04/17/2018 09:45am,"3405 Holmes ave ,Minneapolis,MN",Snow Emergency,44.940999,-93.299358,10,Calhoun Isle,ECCO,5,3,Howe
-93.233623999947611,44.989988999792551,108,04/17/2018 08:54am,"1069 13th Ave Se,Minneapolis,MN",Snow Emergency,44.989989,-93.233624,2,University,Como,4,3,Howe
-93.253349000356025,44.940115000307053,109,04/17/2018 09:48am,"3435 15th Avenue South,Minneapolis,MN",Snow Emergency,44.940115,-93.253349,9,Powderhorn,Powderhorn Park,6,3,Howe
-93.250956999765663,44.945281000218017,110,04/17/2018 09:50am,"3141 16th Ave s,Minneapolis,MN",Snow Emergency,44.945281,-93.250957,9,Powderhorn,Powderhorn Park,6,3,Howe
-93.245101000410784,44.98299400007312,111,04/17/2018 09:54am,"303 8th ave se,Minneapolis,MN",Snow Emergency,44.982994,-93.245101,3,University,Marcy Holmes,4,3,Howe
-93.250878999765973,44.940874000234999,112,04/17/2018 09:54am,"3415 16th av s ,Minneapolis,MN",Snow Emergency,44.940874,-93.250879,9,Powderhorn,Powderhorn Park,6,3,Howe
-93.297493000001907,44.996063000207364,113,04/17/2018 10:01am,"1621 Girard Ave N,Minneapolis,MN",Snow Emergency,44.996063,-93.297493,5,Near North,Near - North,1,3,Howe
-93.297513000024878,44.995552000024823,114,04/17/2018 10:03am,"1605 Girard ave n ,Minneapolis,MN",Snow Emergency,44.995552,-93.297513,5,Near North,Near - North,1,3,Howe
-93.280833999789195,44.969830000054515,115,04/17/2018 10:07am,"1309 SPRUCE PL,Minneapolis,MN",Snow Emergency,44.96983,-93.280834,7,Central,Loring Park,3,3,Howe
-93.246316999829617,44.98748200019422,116,04/17/2018 10:08am,"503 6th st se,Minneapolis,MN",Snow Emergency,44.987482,-93.246317,3,University,Marcy Holmes,4,3,Howe
-93.235679000285586,44.936713999951166,117,04/17/2018 10:11am,"3633 25th ave so,Minneapolis,MN",Snow Emergency,44.936714,-93.235679,12,Powderhorn,Standish,6,3,Howe
-93.278779000350539,44.966373999860252,118,04/17/2018 10:11am,"19 OAK GROVE ST,Minneapolis,MN",Snow Emergency,44.966374,-93.278779,7,Central,Loring Park,3,3,Howe
-93.24477399972028,44.986923999642897,119,04/17/2018 10:12am,"605 6th st se,Minneapolis,MN",Snow Emergency,44.986924,-93.244774,3,University,Marcy Holmes,4,3,Howe
-93.249388000255991,44.937600000339785,120,04/17/2018 10:14am,"1723 36th st e,Minneapolis,MN",Snow Emergency,44.9376,-93.249388,9,Powderhorn,Powderhorn Park,6,3,Howe
-93.299647999555475,44.992829000358142,121,04/17/2018 10:14am,"1341 irving ave n ,Minneapolis,MN",Snow Emergency,44.992829,-93.299648,5,Near North,Near - North,1,3,Howe
-93.243772000277545,44.98782699991618,122,04/17/2018 10:15am,"615 7th st se,Minneapolis,MN",Snow Emergency,44.987827,-93.243772,3,University,Marcy Holmes,4,3,Howe
-93.284444999936738,44.965980999723392,123,04/17/2018 10:16am,"335 Clifton av s,Minneapolis,MN",Snow Emergency,44.965981,-93.284445,7,Central,Loring Park,3,3,Howe
-93.240070000430137,44.986902000427037,124,04/17/2018 10:17am,"723 9th ave se,Minneapolis,MN",Snow Emergency,44.986902,-93.24007,3,University,Marcy Holmes,4,3,Howe
-93.284061000214933,44.966973999650399,125,04/17/2018 10:17am,"333 oak grove st,Minneapolis,MN",Snow Emergency,44.966974,-93.284061,7,Central,Loring Park,3,3,Howe
-93.284499999775107,44.966007000023069,126,04/17/2018 10:19am,"399 Clifton ave ,Minneapolis,MN",Snow Emergency,44.966007,-93.2845,7,Central,Loring Park,3,3,Howe
-93.290797999727886,45.010331999921902,127,04/17/2018 10:20am,"2927 Bryant Ave n ,Minneapolis,MN",Snow Emergency,45.010332,-93.290798,5,Near North,Hawthorne,1,3,Howe
-93.242194000352811,44.987249000241199,128,04/17/2018 10:20am,"717 7th st se,Minneapolis,MN",Snow Emergency,44.987249,-93.242194,3,University,Marcy Holmes,4,3,Howe
-93.289553999917132,45.008106999838226,129,04/17/2018 10:22am,"2709 aldrich ave n ,Minneapolis,MN",Snow Emergency,45.008107,-93.289554,5,Near North,Hawthorne,1,3,Howe
-93.253427000355771,45.0054050002406,130,04/17/2018 10:23am,"1729 madison st ne,Minneapolis,MN",Snow Emergency,45.005405,-93.253427,1,Northeast,Logan Park,2,3,Howe
-93.299660000108858,44.992245000406513,131,04/17/2018 10:24am,"1321 Irving Ave N,Minneapolis,MN",Snow Emergency,44.992245,-93.29966,5,Near North,Near - North,1,3,Howe
-93.23274699997404,44.935924000392326,132,04/17/2018 10:28am,"2703 37th st,Minneapolis,MN",Snow Emergency,44.935924,-93.232747,12,Powderhorn,Standish,6,3,Howe
-93.242209000145181,44.986668000427926,133,04/17/2018 10:27am,"627 8th Ave Se,Minneapolis,MN",Snow Emergency,44.986668,-93.242209,3,University,Marcy Holmes,4,3,Howe
-93.259988999892414,45.002516000113353,134,04/17/2018 10:29am,"1419 5th st ne,Minneapolis,MN",Snow Emergency,45.002516,-93.259989,3,Northeast,Sheridan,2,3,Howe
-93.234882000403971,44.990485000182673,135,04/17/2018 09:48am,"1087 12th Ave Se,Minneapolis,MN",Snow Emergency,44.990485,-93.234882,2,University,Como,4,3,Howe
-93.296696000120264,44.946127999707471,136,04/17/2018 10:29am,"3111 GIRARD AVE S,Minneapolis,MN",Snow Emergency,44.946128,-93.296696,10,Calhoun Isle,CARAG,5,3,Howe
-93.237819000046784,44.937509999786691,137,04/17/2018 10:30am,"2319 36th st,Minneapolis,MN",Snow Emergency,44.93751,-93.237819,12,Powderhorn,Standish,6,3,Howe
-93.236406999683254,44.982020000122972,138,04/17/2018 10:31am,"507 13 ave se,Minneapolis,MN",Snow Emergency,44.98202,-93.236407,3,University,Marcy Holmes,4,3,Howe
-93.284061000214933,44.966973999650399,139,04/17/2018 10:31am,"333 oak grove st,Minneapolis,MN",Snow Emergency,44.966974,-93.284061,7,Central,Loring Park,3,3,Howe
-93.245344999971735,44.985051999650125,140,04/17/2018 09:44am,"429 7thave Se,Minneapolis,MN",Snow Emergency,44.985052,-93.245345,3,University,Marcy Holmes,4,3,Howe
-93.29668699970523,44.945509999986534,141,04/17/2018 10:32am,"3131 girard ave s,Minneapolis,MN",Snow Emergency,44.94551,-93.296687,10,Calhoun Isle,CARAG,5,3,Howe
-93.241449000171201,44.987691999985884,142,04/17/2018 09:44am,"729 8th Ave Se,Minneapolis,MN",Snow Emergency,44.987692,-93.241449,3,University,Marcy Holmes,4,3,Howe
-93.284342999729631,44.96695599971968,143,04/17/2018 10:33am,"335 oak grove st,Minneapolis,MN",Snow Emergency,44.966956,-93.284343,7,Central,Loring Park,3,3,Howe
-93.284444999936738,44.965980999723392,144,04/17/2018 10:33am,"335 Clifton av s,Minneapolis,MN",Snow Emergency,44.965981,-93.284445,7,Central,Loring Park,3,3,Howe
-93.29672399961288,44.944302000037339,145,04/17/2018 10:34am,"3211 girard ave s,Minneapolis,MN",Snow Emergency,44.944302,-93.296724,10,Calhoun Isle,CARAG,5,3,Howe
-93.235936000446031,44.991845999992954,146,04/17/2018 10:35am,"343 ulysses st ne,Minneapolis,MN",Snow Emergency,44.991846,-93.235936,1,University,Como,2,3,Howe
-93.295469000194146,44.945038999849992,147,04/17/2018 10:38am,"3145 Fremont ave s,Minneapolis,MN",Snow Emergency,44.945039,-93.295469,10,Calhoun Isle,CARAG,5,3,Howe
-93.296711999958802,44.945065000149661,148,04/17/2018 10:38am,"3147 GIRARD AVE S,Minneapolis,MN",Snow Emergency,44.945065,-93.296712,10,Calhoun Isle,CARAG,5,3,Howe
-93.284439999706194,44.965978999631197,149,04/17/2018 10:39am,"329 Clifton Ave ,Minneapolis,MN",Snow Emergency,44.965979,-93.28444,7,Central,Loring Park,3,3,Howe
-93.240011000407307,44.986855000058263,150,04/17/2018 10:42am,"713 9th ave se,Minneapolis,MN",Snow Emergency,44.986855,-93.240011,3,University,Marcy Holmes,4,3,Howe
