X,Y,FID,Citation_N,Service_Da,Address,Ordinance,Ordinanc_1,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Snow_Em_Na,Day_ID
-93.258609,44.965184,4026,271118392590,4/16/2018 15:25,1020 18TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.965184,-93.258609,6,Phillips,Ventura Village,3,Howe,2
-93.302345,44.985267,4027,271118396793,4/16/2018 15:25,1708 THOMAS PL,478.1000(b),Snow emergency parking restrictions - even number address,44.985267,-93.302345,5,Near North,Near - North,1,Howe,2
-93.296322,45.018587,4028,271118336917,4/16/2018 15:25,1322 35TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.018587,-93.296322,4,Camden,Folwell,1,Howe,2
-93.285811,44.961444,4029,271118393490,4/16/2018 15:25,2112 HARRIET AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.961444,-93.285811,10,Powderhorn,Whittier,3,Howe,2
-93.289997,45.050822,4030,271118392259,4/16/2018 15:25,5246 ALDRICH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.050822,-93.289997,4,Camden,Lind - Bohanon,1,Howe,2
-93.251429,44.952809,4031,271118390642,4/16/2018 15:25,2720 16TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.952809,-93.251429,9,Phillips,East Phillips,3,Howe,2
-93.307031,45.023722,4032,271118396579,4/16/2018 15:26,3750 OLIVER AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.023722,-93.307031,4,Camden,Folwell,1,Howe,2
-93.251245,44.952658,4033,271118389607,4/16/2018 15:27,2726 16TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.952658,-93.251245,9,Phillips,East Phillips,3,Howe,2
-93.259207,45.016291,4034,271118394483,4/16/2018 15:27,2644 6TH ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.016291,-93.259207,1,Northeast,Holland,2,Howe,2
-93.285868,44.96176,4035,271118393491,4/16/2018 15:27,2100 HARRIET AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.96176,-93.285868,10,Powderhorn,Whittier,3,Howe,2
-93.214926,44.96863,4036,271118393837,4/16/2018 15:28,76 MALCOLM AVE SE,478.1000(b),Snow emergency parking restrictions - even number address,44.96863,-93.214926,2,University,Prospect Park - East River Road,4,Howe,2
-93.215058,44.96864,4037,271118386621,4/16/2018 15:28,84 MALCOLM AVE SE,478.1000(b),Snow emergency parking restrictions - even number address,44.96864,-93.215058,2,University,Prospect Park - East River Road,4,Howe,2
-93.251306,44.952637,4038,271118389608,4/16/2018 15:29,2724 16TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.952637,-93.251306,9,Phillips,East Phillips,3,Howe,2
-93.255794,44.965172,4039,271118392591,4/16/2018 15:29,1314 18TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.965172,-93.255794,6,Phillips,Ventura Village,3,Howe,2
-93.30706,44.984956,4040,271118396794,4/16/2018 15:29,2010 NORTH FRONTAGE ROAD,478.1000(b),Snow emergency parking restrictions - even number address,44.984956,-93.30706,5,Near North,Near - North,1,Howe,2
-93.285788,44.962543,4041,271118393492,4/16/2018 15:29,2004 HARRIET AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.962543,-93.285788,10,Powderhorn,Whittier,3,Howe,2
-93.21266,44.899946,4042,271118388155,4/16/2018 15:29,4206 57TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.899946,-93.21266,12,Nokomis,Morris Park,6,Howe,2
-93.213996,44.931237,4043,271118392977,4/16/2018 15:30,3940 41ST AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.931237,-93.213996,12,Longfellow,Howe,6,Howe,2
-93.251254,44.95267,4044,271118389609,4/16/2018 15:30,2724 16TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.95267,-93.251254,9,Phillips,East Phillips,3,Howe,2
-93.240863,44.964227,4045,271118386560,4/16/2018 15:30,2200 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.964227,-93.240863,6,Longfellow,Seward,4,Howe,2
-93.215182,44.968539,4046,271118393838,4/16/2018 15:30,82 MALCOLM AVE SE,478.1000(b),Snow emergency parking restrictions - even number address,44.968539,-93.215182,2,University,Prospect Park - East River Road,4,Howe,2
-93.294396,45.000268,4047,271118392156,4/16/2018 15:30,1106 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000268,-93.294396,5,Near North,Jordan,1,Howe,2
-93.305963,45.018681,4048,271118336918,4/16/2018 15:30,2108 35TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.018681,-93.305963,4,Camden,Folwell,1,Howe,2
-93.259957,45.034926,4049,271118392993,4/16/2018 15:30,3658 5TH ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.034926,-93.259957,1,Northeast,Columbia Park,2,Howe,2
-93.21409,44.928462,4050,271118392978,4/16/2018 15:32,4130 41ST AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.928462,-93.21409,12,Longfellow,Hiawatha,6,Howe,2
-93.298496,44.993088,4051,271118393626,4/16/2018 15:32,1404 14TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.993088,-93.298496,5,Near North,Near - North,1,Howe,2
-93.250277,45.014941,4052,271118394484,4/16/2018 15:32,810 26TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.014941,-93.250277,1,Northeast,Holland,2,Howe,2
-93.241194,44.964729,4053,271118386561,4/16/2018 15:33,2202 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.964729,-93.241194,2,University,Cedar Riverside,4,Howe,2
-93.295202,45.000256,4054,271118392266,4/16/2018 15:33,1118 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000256,-93.295202,5,Near North,Jordan,1,Howe,2
-93.291366,45.035475,4055,271118392260,4/16/2018 15:33,4416 BRYANT AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.035475,-93.291366,4,Camden,Lind - Bohanon,1,Howe,2
-93.237494,44.89852,4056,271118384350,4/16/2018 15:34,5740 24TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.89852,-93.237494,11,Nokomis,Wenonah,6,Howe,2
-93.327078,44.921555,4057,271118335463,4/16/2018 15:34,3710 45TH ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.921555,-93.327078,13,Southwest,Linden Hills,5,Howe,2
-93.219942,44.970302,4058,271118360626,4/16/2018 15:34,2700 ESSEX ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.970302,-93.219942,2,University,Prospect Park - East River Road,4,Howe,2
-93.309321,44.984727,4059,271118396795,4/16/2018 15:34,2106 NORTH FRONTAGE ROAD,478.1000(b),Snow emergency parking restrictions - even number address,44.984727,-93.309321,5,Near North,Willard - Hay,1,Howe,2
-93.249813,45.01496,4060,271118394485,4/16/2018 15:34,820 26TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.01496,-93.249813,1,Northeast,Holland,2,Howe,2
-93.29114,45.036335,4061,271118392262,4/16/2018 15:34,4422 BRYANT AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.036335,-93.29114,4,Camden,Lind - Bohanon,1,Howe,2
-93.291127,45.036226,4062,271118392261,4/16/2018 15:34,4420 BRYANT AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.036226,-93.291127,4,Camden,Lind - Bohanon,1,Howe,2
-93.251468,44.951205,4063,271118390643,4/16/2018 15:34,2820 16TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.951205,-93.251468,9,Phillips,East Phillips,3,Howe,2
-93.214118,44.923362,4064,271118392979,4/16/2018 15:35,4400 41ST AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.923362,-93.214118,12,Longfellow,Hiawatha,6,Howe,2
-93.219894,44.970328,4065,271118360627,4/16/2018 15:35,2702 ESSEX ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.970328,-93.219894,2,University,Prospect Park - East River Road,4,Howe,2
-93.309352,44.984769,4066,271118396796,4/16/2018 15:35,2110 NORTH FRONTAGE ROAD,478.1000(b),Snow emergency parking restrictions - even number address,44.984769,-93.309352,5,Near North,Willard - Hay,1,Howe,2
-93.287051,44.962369,4067,271118393493,4/16/2018 15:35,2004 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.962369,-93.287051,10,Powderhorn,Whittier,3,Howe,2
-93.237491,44.898462,4068,271118384351,4/16/2018 15:36,5738 24TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.898462,-93.237491,11,Nokomis,Wenonah,6,Howe,2
-93.270208,44.932421,4069,271118388243,4/16/2018 15:36,410 39TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.932421,-93.270208,8,Powderhorn,Bryant,5,Howe,2
-93.309432,44.984634,4070,271118396797,4/16/2018 15:36,2116 NORTH FRONTAGE ROAD,478.1000(b),Snow emergency parking restrictions - even number address,44.984634,-93.309432,5,Near North,Willard - Hay,1,Howe,2
-93.295323,45.000216,4071,271118392267,4/16/2018 15:36,1120 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000216,-93.295323,5,Near North,Jordan,1,Howe,2
-93.307928,45.01868,4072,271118336919,4/16/2018 15:36,2122 35TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.01868,-93.307928,4,Camden,Folwell,1,Howe,2
-93.213861,44.919959,4073,271118392980,4/16/2018 15:37,4554 41ST AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.919959,-93.213861,12,Longfellow,Hiawatha,6,Howe,2
-93.219782,44.970326,4074,271118360628,4/16/2018 15:37,2704 ESSEX ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.970326,-93.219782,2,University,Prospect Park - East River Road,4,Howe,2
-93.295266,45.000259,4075,271118392268,4/16/2018 15:37,1122 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000259,-93.295266,5,Near North,Jordan,1,Howe,2
-93.24963,45.014954,4076,271118394486,4/16/2018 15:37,824 26TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.014954,-93.24963,1,Northeast,Holland,2,Howe,2
-93.292453,45.038122,4077,271118392263,4/16/2018 15:37,4552 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.038122,-93.292453,4,Camden,Lind - Bohanon,1,Howe,2
-93.270324,44.932443,4078,271118388244,4/16/2018 15:38,428 39TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.932443,-93.270324,8,Powderhorn,Bryant,5,Howe,2
-93.249564,45.01495,4079,271118394487,4/16/2018 15:38,826 26TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.01495,-93.249564,1,Northeast,Holland,2,Howe,2
-93.305402,44.993125,4080,271118393627,4/16/2018 15:39,1924 14TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.993125,-93.305402,5,Near North,Willard - Hay,1,Howe,2
-93.287062,44.962192,4081,271118393494,4/16/2018 15:39,2012 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.962192,-93.287062,10,Powderhorn,Whittier,3,Howe,2
-93.292407,45.03864,4082,271118392264,4/16/2018 15:39,4602 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.03864,-93.292407,4,Camden,Lind - Bohanon,1,Howe,2
-93.222546,44.90469,4083,271118388156,4/16/2018 15:39,3406 BOARDMAN ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.90469,-93.222546,12,Nokomis,Morris Park,6,Howe,2
-93.219459,44.970241,4084,271118360629,4/16/2018 15:41,2716 ESSEX ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.970241,-93.219459,2,University,Prospect Park - East River Road,4,Howe,2
-93.305506,44.993164,4085,271118393628,4/16/2018 15:41,1922 14TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.993164,-93.305506,5,Near North,Willard - Hay,1,Howe,2
-93.290262,45.000236,4086,271118392269,4/16/2018 15:41,816 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000236,-93.290262,5,Near North,Hawthorne,1,Howe,2
-93.242219,45.032026,4087,271118393881,4/16/2018 15:41,3524 PIERCE ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.032026,-93.242219,1,Northeast,Waite Park,2,Howe,2
-93.287052,44.96212,4088,271118393495,4/16/2018 15:41,2014 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.96212,-93.287052,10,Powderhorn,Whittier,3,Howe,2
-93.29248,45.038705,4089,271118392265,4/16/2018 15:41,4606 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.038705,-93.29248,4,Camden,Lind - Bohanon,1,Howe,2
-93.251468,44.94942,4090,271118390644,4/16/2018 15:41,2920 16TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.94942,-93.251468,9,Phillips,East Phillips,3,Howe,2
-93.317655,44.923181,4091,271118360342,4/16/2018 15:42,4400 WASHBURN AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.923181,-93.317655,13,Southwest,Linden Hills,5,Howe,2
-93.292453,45.038816,4092,271118393647,4/16/2018 15:42,4610 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.038816,-93.292453,4,Camden,Lind - Bohanon,1,Howe,2
-93.287027,44.961901,4093,271118393496,4/16/2018 15:42,2020 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.961901,-93.287027,10,Powderhorn,Whittier,3,Howe,2
-93.312261,44.986129,4094,271118396798,4/16/2018 15:43,2502 8TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.986129,-93.312261,5,Near North,Willard - Hay,1,Howe,2
-93.308655,45.018667,4095,271118336920,4/16/2018 15:43,2206 35TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.018667,-93.308655,4,Camden,Cleveland,1,Howe,2
-93.263869,45.035278,4096,271118392994,4/16/2018 15:43,3654 3RD ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.035278,-93.263869,1,Northeast,Columbia Park,2,Howe,2
-93.325769,44.921539,4097,271118335464,4/16/2018 15:44,3602 45TH ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.921539,-93.325769,13,Southwest,Linden Hills,5,Howe,2
-93.240757,44.964189,4098,271118386562,4/16/2018 15:44,2204 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.964189,-93.240757,6,Longfellow,Seward,4,Howe,2
-93.215345,44.970141,4099,271118393839,4/16/2018 15:44,18 ARTHUR AVE SE,478.1000(b),Snow emergency parking restrictions - even number address,44.970141,-93.215345,2,University,Prospect Park - East River Road,4,Howe,2
-93.219316,44.970231,4100,271118360630,4/16/2018 15:44,2718 ESSEX ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.970231,-93.219316,2,University,Prospect Park - East River Road,4,Howe,2
-93.31234,44.98616,4101,271118396799,4/16/2018 15:44,2502 8TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.98616,-93.31234,5,Near North,Willard - Hay,1,Howe,2
-93.290296,45.000224,4102,271118392270,4/16/2018 15:44,810 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000224,-93.290296,5,Near North,Hawthorne,1,Howe,2
-93.292418,45.03899,4103,271118393649,4/16/2018 15:44,4616 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.03899,-93.292418,4,Camden,Lind - Bohanon,1,Howe,2
-93.292466,45.038925,4104,271118393648,4/16/2018 15:44,4614 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.038925,-93.292466,4,Camden,Lind - Bohanon,1,Howe,2
-93.270128,44.930654,4105,271118388245,4/16/2018 15:45,410 40TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.930654,-93.270128,8,Powderhorn,Bryant,5,Howe,2
-93.287072,44.961608,4106,271118393497,4/16/2018 15:45,2106 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.961608,-93.287072,10,Powderhorn,Whittier,3,Howe,2
-93.240239,44.964021,4107,271118386563,4/16/2018 15:46,2208 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.964021,-93.240239,6,Longfellow,Seward,4,Howe,2
-93.307601,44.993252,4108,271118393629,4/16/2018 15:46,2106 14TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.993252,-93.307601,5,Near North,Willard - Hay,1,Howe,2
-93.290044,45.000252,4109,271118392271,4/16/2018 15:46,808 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000252,-93.290044,5,Near North,Hawthorne,1,Howe,2
-93.270156,44.930906,4110,271118388246,4/16/2018 15:47,340 40TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.930906,-93.270156,8,Powderhorn,Bryant,5,Howe,2
-93.287054,44.961537,4111,271118393498,4/16/2018 15:47,2108 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.961537,-93.287054,10,Powderhorn,Whittier,3,Howe,2
-93.290002,45.00021,4112,271118392272,4/16/2018 15:48,806 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.00021,-93.290002,5,Near North,Hawthorne,1,Howe,2
-93.29245,45.040084,4113,271118393650,4/16/2018 15:48,4658 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.040084,-93.29245,4,Camden,Lind - Bohanon,1,Howe,2
-93.317679,44.921698,4114,271118360343,4/16/2018 15:49,4448 WASHBURN AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.921698,-93.317679,13,Southwest,Linden Hills,5,Howe,2
-93.212761,44.966149,4115,271118393840,4/16/2018 15:49,112 SEYMOUR AVE,478.1000(b),Snow emergency parking restrictions - even number address,44.966149,-93.212761,2,University,Prospect Park - East River Road,4,Howe,2
-93.271576,44.930532,4116,271118388247,4/16/2018 15:50,328 40TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.930532,-93.271576,8,Powderhorn,Bryant,5,Howe,2
-93.289923,45.0002,4117,271118392273,4/16/2018 15:50,806 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.0002,-93.289923,5,Near North,Hawthorne,1,Howe,2
-93.266388,45.03469,4118,271118392995,4/16/2018 15:50,3632 2ND ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.03469,-93.266388,1,Northeast,Columbia Park,2,Howe,2
-93.315387,44.921533,4119,271118335465,4/16/2018 15:51,2806 45TH ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.921533,-93.315387,13,Southwest,Linden Hills,5,Howe,2
-93.240715,44.963892,4120,271118386564,4/16/2018 15:51,2210 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.963892,-93.240715,6,Longfellow,Seward,4,Howe,2
-93.292434,45.041025,4121,271118393651,4/16/2018 15:51,4724 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.041025,-93.292434,4,Camden,Lind - Bohanon,1,Howe,2
-93.287069,44.954523,4122,271118393499,4/16/2018 15:51,2628 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.954523,-93.287069,10,Powderhorn,Whittier,3,Howe,2
-93.312957,45.020487,4123,271118336921,4/16/2018 15:52,2520 36TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.020487,-93.312957,4,Camden,Cleveland,1,Howe,2
-93.240513,44.963987,4124,271118386565,4/16/2018 15:53,2214 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.963987,-93.240513,6,Longfellow,Seward,4,Howe,2
-93.309,44.987918,4125,271118396800,4/16/2018 15:53,2210 OAK PARK AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.987918,-93.309,5,Near North,Willard - Hay,1,Howe,2
-93.288442,45.000209,4126,271118392274,4/16/2018 15:53,702 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000209,-93.288442,5,Near North,Hawthorne,1,Howe,2
-93.29958,45.03501,4127,271118396580,4/16/2018 15:53,4352 IRVING AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.03501,-93.29958,4,Camden,Webber - Camden,1,Howe,2
-93.28711,44.952737,4128,271118393500,4/16/2018 15:53,2732 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.952737,-93.28711,10,Powderhorn,Whittier,3,Howe,2
-93.224324,44.969891,4129,271118360631,4/16/2018 15:54,608 ERIE ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.969891,-93.224324,2,University,Prospect Park - East River Road,4,Howe,2
-93.234054,44.982365,4130,271118394777,4/16/2018 15:54,1406 6TH ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.982365,-93.234054,3,University,Marcy Holmes,4,Howe,2
-93.309169,44.987861,4131,271118396801,4/16/2018 15:54,2212 OAK PARK AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.987861,-93.309169,5,Near North,Willard - Hay,1,Howe,2
-93.292447,45.043232,4132,271118393652,4/16/2018 15:54,4838 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.043232,-93.292447,4,Camden,Lind - Bohanon,1,Howe,2
-93.240465,44.963978,4133,271118386566,4/16/2018 15:55,2220 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.963978,-93.240465,6,Longfellow,Seward,4,Howe,2
-93.309567,44.98053,4134,271118360009,4/16/2018 15:55,312 QUEEN AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.98053,-93.309567,5,Near North,Harrison,3,Howe,2
-93.233972,44.982352,4135,271118394778,4/16/2018 15:56,1408 6TH ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.982352,-93.233972,3,University,Marcy Holmes,4,Howe,2
-93.235721,44.964588,4136,271118386567,4/16/2018 15:57,2300 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.964588,-93.235721,2,University,Cedar Riverside,4,Howe,2
-93.233767,44.982287,4137,271118394779,4/16/2018 15:57,1410 6TH ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.982287,-93.233767,3,University,Marcy Holmes,4,Howe,2
-93.287589,45.000213,4138,271118392275,4/16/2018 15:57,624 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000213,-93.287589,5,Near North,Hawthorne,1,Howe,2
-93.224356,44.969699,4139,271118360632,4/16/2018 15:58,614 ERIE ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.969699,-93.224356,2,University,Prospect Park - East River Road,4,Howe,2
-93.309576,44.980236,4140,271118360010,4/16/2018 15:58,310 QUEEN AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.980236,-93.309576,5,Near North,Harrison,3,Howe,2
