"FID";"snow_emergency_name";"service_date";"address";"latitude";"longitude";"day_id";"ward";"neighborhood";"community";"tow_district"
23;"Howe";"2018-04-16 00:00:00";"2516 Delaware st se,Minneapolis,MN";44.972;-93.221;2;2;"Prospect Park - East River Road";"University";4
24;"Howe";"2018-04-16 00:00:00";"3706 DuPont Ave n,Minneapolis,MN";45.022;-93.293;2;4;"McKinley";"Camden";1
25;"Howe";"2018-04-16 00:00:00";"738 16th st e,Minneapolis,MN";44.967;-93.263;2;6;"Elliot Park";"Central";3
26;"Howe";"2018-04-16 00:00:00";"3014 ALDRICH Av S,Minneapolis,MN";44.948;-93.289;2;10;"CARAG";"Calhoun Isle";5
27;"Howe";"2018-04-16 00:00:00";"1430 Newton Ave N,Minneapolis,MN";44.994;-93.305;2;5;"Willard - Hay";"Near North";1
28;"Howe";"2018-04-16 00:00:00";"1526 talmage ave se,Minneapolis,MN";44.99;-93.23;2;1;"Como";"University";4
29;"Howe";"2018-04-16 00:00:00";"3018 ALDRICH AV S,Minneapolis,MN";44.948;-93.29;2;10;"CARAG";"Calhoun Isle";5
30;"Howe";"2018-04-16 00:00:00";"3516 39th Street East,Minneapolis,MN";44.932;-93.221;2;12;"Howe";"Longfellow";6
31;"Howe";"2018-04-15 00:00:00";"3210 Chicago Avenue South,Minneapolis,MN";44.944;-93.263;1;9;"Central";"Powderhorn";5
32;"Howe";"2018-04-16 00:00:00";"3136 E 28th ST,Minneapolis,MN";44.952;-93.226;2;2;"Longfellow";"Longfellow";4
33;"Howe";"2018-04-16 00:00:00";"3710 dupont Ave n ,Minneapolis,MN";45.023;-93.293;2;4;"McKinley";"Camden";1
34;"Howe";"2018-04-16 00:00:00";"3038 14th ave s,Minneapolis,MN";44.947;-93.255;2;9;"Powderhorn Park";"Powderhorn";6
35;"Howe";"2018-04-16 00:00:00";"1014 15th Ave se ,Minneapolis,MN";44.988;-93.23;2;1;"Como";"University";4
36;"Howe";"2018-04-16 00:00:00";"2312 Pillsbury Ave s,Minneapolis,MN";44.96;-93.282;2;10;"Whittier";"Powderhorn";3
37;"Howe";"2018-04-16 00:00:00";"930 17th Ave Se,Minneapolis,MN";44.986;-93.228;2;2;"Como";"University";4
38;"Howe";"2018-04-16 00:00:00";"1900 newton ave n ,Minneapolis,MN";44.999;-93.306;2;5;"Willard - Hay";"Near North";1
39;"Howe";"2018-04-16 00:00:00";"3040 14th Avenue South,Minneapolis,MN";44.947;-93.255;2;9;"Powderhorn Park";"Powderhorn";6
40;"Howe";"2018-04-16 00:00:00";"1910 Steven ave s,Minneapolis,MN";44.963;-93.276;2;6;"Steven's Square - Loring Heights";"Central";3
41;"Howe";"2018-04-16 00:00:00";"2734 Pillsbury Ave s,Minneapolis,MN";44.953;-93.282;2;10;"Whittier";"Powderhorn";3
42;"Howe";"2018-04-16 00:00:00";"331 17th ave ne,Minneapolis,MN";45.005;-93.263;2;3;"Sheridan";"Northeast";2
43;"Howe";"2018-04-16 00:00:00";"1024 14th ave se,Minneapolis,MN";44.989;-93.232;2;1;"Como";"University";4
44;"Howe";"2018-04-16 00:00:00";"1416 6th St Se,Minneapolis,MN";44.982;-93.234;2;3;"Marcy Holmes";"University";4
45;"Howe";"2018-04-16 00:00:00";"1002 16th ave se,Minneapolis,MN";44.988;-93.23;2;1;"Como";"University";4
46;"Howe";"2018-04-16 00:00:00";"4014 Bryant Ave n ,Minneapolis,MN";45.028;-93.29;2;4;"Webber - Camden";"Camden";1
47;"Howe";"2018-04-16 00:00:00";"1034 14th Ave Se,Minneapolis,MN";44.989;-93.232;2;1;"Como";"University";4
48;"Howe";"2018-04-16 00:00:00";"1126 12th Ave N,Minneapolis,MN";44.99;-93.306;2;5;"Near - North";"Near North";1
49;"Howe";"2018-04-16 00:00:00";"2426 33rd st e,Minneapolis,MN";44.943;-93.236;2;9;"Corcoran";"Powderhorn";6
50;"Howe";"2018-04-16 00:00:00";"1000 UPTON AVE N,Minneapolis,MN";44.988;-93.314;2;5;"Willard - Hay";"Near North";1
51;"Howe";"2018-04-16 00:00:00";"3658 5th st ne,Minneapolis,MN";45.035;-93.26;2;1;"Columbia Park";"Northeast";2
52;"Howe";"2018-04-16 00:00:00";"3552 Irving Ave n,Minneapolis,MN";45.02;-93.299;2;4;"Folwell";"Camden";1
53;"Howe";"2018-04-16 00:00:00";"1022 15th Ave Se,Minneapolis,MN";44.989;-93.23;2;1;"Como";"University";4
54;"Howe";"2018-04-16 00:00:00";"2326 Grand Ave s ,Minneapolis,MN";44.959;-93.284;2;10;"Whittier";"Powderhorn";3
55;"Howe";"2018-04-16 00:00:00";"2106 14th ave n ,Minneapolis,MN";44.993;-93.307;2;5;"Willard - Hay";"Near North";1
56;"Howe";"2018-04-16 00:00:00";"2802 33rd st,Minneapolis,MN";44.943;-93.232;2;9;"Longfellow";"Longfellow";6
57;"Howe";"2018-04-16 00:00:00";"3632 snelling,Minneapolis,MN";44.937;-93.228;2;12;"Howe";"Longfellow";6
58;"Howe";"2018-04-16 00:00:00";"1124 12th Ave N,Minneapolis,MN";44.99;-93.306;2;5;"Near - North";"Near North";1
59;"Howe";"2018-04-16 00:00:00";"706 17th st e,Minneapolis,MN";44.966;-93.265;2;6;"Elliot Park";"Central";3
60;"Howe";"2018-04-16 00:00:00";"1120 8th Ave n,Minneapolis,MN";44.986;-93.299;2;5;"Near - North";"Near North";1
61;"Howe";"2018-04-16 00:00:00";"1344 UPTON AVE N,Minneapolis,MN";44.993;-93.314;2;5;"Willard - Hay";"Near North";1
62;"Howe";"2018-04-16 00:00:00";"940 11th Ave N,Minneapolis,MN";44.989;-93.292;2;5;"Near - North";"Near North";1
63;"Howe";"2018-04-16 00:00:00";"754 Pierce St NE,Minneapolis,MN";44.998;-93.241;2;3;"Beltrami";"Northeast";2
64;"Howe";"2018-04-16 00:00:00";"3404 Snelling Avenue South,Minneapolis,MN";44.941;-93.231;2;12;"Howe";"Longfellow";6
65;"Howe";"2018-04-16 00:00:00";"1030 16th ave se,Minneapolis,MN";44.989;-93.229;2;1;"Como";"University";4
66;"Howe";"2018-04-16 00:00:00";"3408 Snelling Avenue South,Minneapolis,MN";44.941;-93.231;2;12;"Howe";"Longfellow";6
67;"Howe";"2018-04-17 00:00:00";"1711 lyn park ave n ,Minneapolis,MN";44.997;-93.286;3;5;"Near - North";"Near North";1
68;"Howe";"2018-04-17 00:00:00";"1711 lyn park ave n ,Minneapolis,MN";44.997;-93.286;3;5;"Near - North";"Near North";1
69;"Howe";"2018-04-17 00:00:00";"2915 3rd st n ,Minneapolis,MN";45.01;-93.284;3;5;"Hawthorne";"Near North";1
70;"Howe";"2018-04-17 00:00:00";"511 3rd ave se,Minneapolis,MN";44.988;-93.25;3;3;"Marcy Holmes";"University";4
71;"Howe";"2018-04-17 00:00:00";"321 3rd ave se,Minneapolis,MN";44.986;-93.252;3;3;"Marcy Holmes";"University";4
72;"Howe";"2018-04-17 00:00:00";"303 3rd ave ne,Minneapolis,MN";44.991;-93.258;3;3;"St. Anthony West";"Northeast";2
73;"Howe";"2018-04-17 00:00:00";"325 3rd ave ne,Minneapolis,MN";44.991;-93.258;3;3;"St. Anthony West";"Northeast";2
74;"Howe";"2018-04-17 00:00:00";"827 Lyndale place,Minneapolis,MN";44.983;-93.289;3;5;"Sumner - Glenwood";"Near North";3
75;"Howe";"2018-04-17 00:00:00";"305 3rd ave ne,Minneapolis,MN";44.991;-93.258;3;3;"St. Anthony West";"Northeast";2
76;"Howe";"2018-04-17 00:00:00";"503 3rd ave ne,Minneapolis,MN";44.992;-93.255;3;3;"St. Anthony East";"Northeast";2
77;"Howe";"2018-04-17 00:00:00";"747 lyndale ave n ,Minneapolis,MN";44.985;-93.289;3;5;"Sumner - Glenwood";"Near North";1
78;"Howe";"2018-04-17 00:00:00";"105 14th st w,Minneapolis,MN";44.969;-93.279;3;7;"Loring Park";"Central";3
79;"Howe";"2018-04-17 00:00:00";"2725 40th Street East,Minneapolis,MN";44.931;-93.233;3;12;"Standish";"Powderhorn";6
80;"Howe";"2018-04-17 00:00:00";"2119 6th St n,Minneapolis,MN";45.001;-93.287;3;5;"Hawthorne";"Near North";1
81;"Howe";"2018-04-17 00:00:00";"829 Aldrich ave n ,Minneapolis,MN";44.987;-93.291;3;5;"Sumner - Glenwood";"Near North";1
82;"Howe";"2018-04-17 00:00:00";"113 14TH ST W,Minneapolis,MN";44.969;-93.279;3;7;"Loring Park";"Central";3
83;"Howe";"2018-04-17 00:00:00";"107 14TH ST W,Minneapolis,MN";44.969;-93.279;3;7;"Loring Park";"Central";3
84;"Howe";"2018-04-17 00:00:00";"109 14th st w,Minneapolis,MN";44.969;-93.279;3;7;"Loring Park";"Central";3
85;"Howe";"2018-04-17 00:00:00";"409 6th ave se,Minneapolis,MN";44.985;-93.247;3;3;"Marcy Holmes";"University";4
86;"Howe";"2018-04-17 00:00:00";"901 39th St E,Minneapolis,MN";44.932;-93.261;3;8;"Bancroft";"Powderhorn";6
87;"Howe";"2018-04-17 00:00:00";"423 6th ave ne,Minneapolis,MN";44.995;-93.258;3;3;"St. Anthony West";"Northeast";2
88;"Howe";"2018-04-17 00:00:00";"721 Aldrich ave n ,Minneapolis,MN";44.985;-93.29;3;5;"Sumner - Glenwood";"Near North";1
89;"Howe";"2018-04-17 00:00:00";"1211 Fremont Ave N,Minneapolis,MN";44.99;-93.295;3;5;"Near - North";"Near North";1
90;"Howe";"2018-04-17 00:00:00";"3159 15th ave,Minneapolis,MN";44.945;-93.254;3;9;"Powderhorn Park";"Powderhorn";6
91;"Howe";"2018-04-17 00:00:00";"3025 16th ave,Minneapolis,MN";44.948;-93.251;3;9;"Powderhorn Park";"Powderhorn";6
92;"Howe";"2018-04-17 00:00:00";"209 9th ave ne,Minneapolis,MN";44.997;-93.264;3;3;"St. Anthony West";"Northeast";2
93;"Howe";"2018-04-17 00:00:00";"701 6th ave se,Minneapolis,MN";44.988;-93.245;3;3;"Marcy Holmes";"University";4
94;"Howe";"2018-04-17 00:00:00";"629 6th ave se,Minneapolis,MN";44.988;-93.245;3;3;"Marcy Holmes";"University";4
95;"Howe";"2018-04-17 00:00:00";"1827 dupont ave n ,Minneapolis,MN";44.998;-93.293;3;5;"Near - North";"Near North";1
96;"Howe";"2018-04-17 00:00:00";"111 14th st w,Minneapolis,MN";44.969;-93.279;3;7;"Loring Park";"Central";3
97;"Howe";"2018-04-17 00:00:00";"713 6th ave se,Minneapolis,MN";44.988;-93.244;3;3;"Marcy Holmes";"University";4
98;"Howe";"2018-04-17 00:00:00";"3101 James ave s,Minneapolis,MN";44.947;-93.303;3;10;"ECCO";"Calhoun Isle";5
99;"Howe";"2018-04-17 00:00:00";"423 5th ave se,Minneapolis,MN";44.986;-93.248;3;3;"Marcy Holmes";"University";4
100;"Howe";"2018-04-17 00:00:00";"2021 aldrich ave n ,Minneapolis,MN";45.0;-93.29;3;5;"Hawthorne";"Near North";1
101;"Howe";"2018-04-17 00:00:00";"3043 James ave s,Minneapolis,MN";44.947;-93.303;3;10;"ECCO";"Calhoun Isle";5
102;"Howe";"2018-04-17 00:00:00";"3019 6th St n,Minneapolis,MN";45.011;-93.287;3;5;"Hawthorne";"Near North";1
103;"Howe";"2018-04-17 00:00:00";"605 4th st ne,Minneapolis,MN";44.995;-93.259;3;3;"St. Anthony West";"Northeast";2
104;"Howe";"2018-04-17 00:00:00";"3717 15th Avenue South,Minneapolis,MN";44.935;-93.253;3;9;"Powderhorn Park";"Powderhorn";6
105;"Howe";"2018-04-17 00:00:00";"723 8th ave se,Minneapolis,MN";44.987;-93.242;3;3;"Marcy Holmes";"University";4
106;"Howe";"2018-04-17 00:00:00";"647 adams st ne,Minneapolis,MN";44.996;-93.256;3;3;"St. Anthony East";"Northeast";2
107;"Howe";"2018-04-17 00:00:00";"3405 Holmes ave ,Minneapolis,MN";44.941;-93.299;3;10;"ECCO";"Calhoun Isle";5
108;"Howe";"2018-04-17 00:00:00";"1069 13th Ave Se,Minneapolis,MN";44.99;-93.234;3;2;"Como";"University";4
109;"Howe";"2018-04-17 00:00:00";"3435 15th Avenue South,Minneapolis,MN";44.94;-93.253;3;9;"Powderhorn Park";"Powderhorn";6
110;"Howe";"2018-04-17 00:00:00";"3141 16th Ave s,Minneapolis,MN";44.945;-93.251;3;9;"Powderhorn Park";"Powderhorn";6
111;"Howe";"2018-04-17 00:00:00";"303 8th ave se,Minneapolis,MN";44.983;-93.245;3;3;"Marcy Holmes";"University";4
112;"Howe";"2018-04-17 00:00:00";"3415 16th av s ,Minneapolis,MN";44.941;-93.251;3;9;"Powderhorn Park";"Powderhorn";6
113;"Howe";"2018-04-17 00:00:00";"1621 Girard Ave N,Minneapolis,MN";44.996;-93.297;3;5;"Near - North";"Near North";1
114;"Howe";"2018-04-17 00:00:00";"1605 Girard ave n ,Minneapolis,MN";44.996;-93.298;3;5;"Near - North";"Near North";1
115;"Howe";"2018-04-17 00:00:00";"1309 SPRUCE PL,Minneapolis,MN";44.97;-93.281;3;7;"Loring Park";"Central";3
116;"Howe";"2018-04-17 00:00:00";"503 6th st se,Minneapolis,MN";44.987;-93.246;3;3;"Marcy Holmes";"University";4
117;"Howe";"2018-04-17 00:00:00";"3633 25th ave so,Minneapolis,MN";44.937;-93.236;3;12;"Standish";"Powderhorn";6
118;"Howe";"2018-04-17 00:00:00";"19 OAK GROVE ST,Minneapolis,MN";44.966;-93.279;3;7;"Loring Park";"Central";3
119;"Howe";"2018-04-17 00:00:00";"605 6th st se,Minneapolis,MN";44.987;-93.245;3;3;"Marcy Holmes";"University";4
120;"Howe";"2018-04-17 00:00:00";"1723 36th st e,Minneapolis,MN";44.938;-93.249;3;9;"Powderhorn Park";"Powderhorn";6
121;"Howe";"2018-04-17 00:00:00";"1341 irving ave n ,Minneapolis,MN";44.993;-93.3;3;5;"Near - North";"Near North";1
122;"Howe";"2018-04-17 00:00:00";"615 7th st se,Minneapolis,MN";44.988;-93.244;3;3;"Marcy Holmes";"University";4
123;"Howe";"2018-04-17 00:00:00";"335 Clifton av s,Minneapolis,MN";44.966;-93.284;3;7;"Loring Park";"Central";3
124;"Howe";"2018-04-17 00:00:00";"723 9th ave se,Minneapolis,MN";44.987;-93.24;3;3;"Marcy Holmes";"University";4
125;"Howe";"2018-04-17 00:00:00";"333 oak grove st,Minneapolis,MN";44.967;-93.284;3;7;"Loring Park";"Central";3
126;"Howe";"2018-04-17 00:00:00";"399 Clifton ave ,Minneapolis,MN";44.966;-93.284;3;7;"Loring Park";"Central";3
127;"Howe";"2018-04-17 00:00:00";"2927 Bryant Ave n ,Minneapolis,MN";45.01;-93.291;3;5;"Hawthorne";"Near North";1
128;"Howe";"2018-04-17 00:00:00";"717 7th st se,Minneapolis,MN";44.987;-93.242;3;3;"Marcy Holmes";"University";4
129;"Howe";"2018-04-17 00:00:00";"2709 aldrich ave n ,Minneapolis,MN";45.008;-93.29;3;5;"Hawthorne";"Near North";1
130;"Howe";"2018-04-17 00:00:00";"1729 madison st ne,Minneapolis,MN";45.005;-93.253;3;1;"Logan Park";"Northeast";2
131;"Howe";"2018-04-17 00:00:00";"1321 Irving Ave N,Minneapolis,MN";44.992;-93.3;3;5;"Near - North";"Near North";1
132;"Howe";"2018-04-17 00:00:00";"2703 37th st,Minneapolis,MN";44.936;-93.233;3;12;"Standish";"Powderhorn";6
133;"Howe";"2018-04-17 00:00:00";"627 8th Ave Se,Minneapolis,MN";44.987;-93.242;3;3;"Marcy Holmes";"University";4
134;"Howe";"2018-04-17 00:00:00";"1419 5th st ne,Minneapolis,MN";45.003;-93.26;3;3;"Sheridan";"Northeast";2
135;"Howe";"2018-04-17 00:00:00";"1087 12th Ave Se,Minneapolis,MN";44.99;-93.235;3;2;"Como";"University";4
136;"Howe";"2018-04-17 00:00:00";"3111 GIRARD AVE S,Minneapolis,MN";44.946;-93.297;3;10;"CARAG";"Calhoun Isle";5
137;"Howe";"2018-04-17 00:00:00";"2319 36th st,Minneapolis,MN";44.938;-93.238;3;12;"Standish";"Powderhorn";6
138;"Howe";"2018-04-17 00:00:00";"507 13 ave se,Minneapolis,MN";44.982;-93.236;3;3;"Marcy Holmes";"University";4
139;"Howe";"2018-04-17 00:00:00";"333 oak grove st,Minneapolis,MN";44.967;-93.284;3;7;"Loring Park";"Central";3
140;"Howe";"2018-04-17 00:00:00";"429 7thave Se,Minneapolis,MN";44.985;-93.245;3;3;"Marcy Holmes";"University";4
141;"Howe";"2018-04-17 00:00:00";"3131 girard ave s,Minneapolis,MN";44.946;-93.297;3;10;"CARAG";"Calhoun Isle";5
142;"Howe";"2018-04-17 00:00:00";"729 8th Ave Se,Minneapolis,MN";44.988;-93.241;3;3;"Marcy Holmes";"University";4
143;"Howe";"2018-04-17 00:00:00";"335 oak grove st,Minneapolis,MN";44.967;-93.284;3;7;"Loring Park";"Central";3
144;"Howe";"2018-04-17 00:00:00";"335 Clifton av s,Minneapolis,MN";44.966;-93.284;3;7;"Loring Park";"Central";3
145;"Howe";"2018-04-17 00:00:00";"3211 girard ave s,Minneapolis,MN";44.944;-93.297;3;10;"CARAG";"Calhoun Isle";5
146;"Howe";"2018-04-17 00:00:00";"343 ulysses st ne,Minneapolis,MN";44.992;-93.236;3;1;"Como";"University";2
147;"Howe";"2018-04-17 00:00:00";"3145 Fremont ave s,Minneapolis,MN";44.945;-93.295;3;10;"CARAG";"Calhoun Isle";5
148;"Howe";"2018-04-17 00:00:00";"3147 GIRARD AVE S,Minneapolis,MN";44.945;-93.297;3;10;"CARAG";"Calhoun Isle";5
149;"Howe";"2018-04-17 00:00:00";"329 Clifton Ave ,Minneapolis,MN";44.966;-93.284;3;7;"Loring Park";"Central";3
150;"Howe";"2018-04-17 00:00:00";"713 9th ave se,Minneapolis,MN";44.987;-93.24;3;3;"Marcy Holmes";"University";4
151;"Howe";"2018-04-17 00:00:00";"1015 6th st se ,Minneapolis,MN";44.985;-93.239;3;3;"Marcy Holmes";"University";4
152;"Howe";"2018-04-17 00:00:00";"2349 james ave n,Minneapolis,MN";45.004;-93.303;3;5;"Jordan";"Near North";1
153;"Howe";"2018-04-17 00:00:00";"325 7th st se,Minneapolis,MN";44.99;-93.248;3;3;"Marcy Holmes";"University";4
154;"Howe";"2018-04-17 00:00:00";"327 7th st se,Minneapolis,MN";44.99;-93.248;3;3;"Marcy Holmes";"University";4
155;"Howe";"2018-04-17 00:00:00";"327 Clifton av s,Minneapolis,MN";44.966;-93.284;3;7;"Loring Park";"Central";3
156;"Howe";"2018-04-17 00:00:00";"2529 Irving ave n ,Minneapolis,MN";45.006;-93.299;3;5;"Jordan";"Near North";1
157;"Howe";"2018-04-17 00:00:00";"715 11th ave se,Minneapolis,MN";44.986;-93.238;3;3;"Marcy Holmes";"University";4
158;"Howe";"2018-04-17 00:00:00";"211 Ridgewood ave s,Minneapolis,MN";44.964;-93.281;3;7;"Steven's Square - Loring Heights";"Central";3
159;"Howe";"2018-04-17 00:00:00";"1325 Morgan Ave N,Minneapolis,MN";44.992;-93.305;3;5;"Willard - Hay";"Near North";1
160;"Howe";"2018-04-17 00:00:00";"2133 irving ave n ,Minneapolis,MN";45.001;-93.299;3;5;"Jordan";"Near North";1
161;"Howe";"2018-04-17 00:00:00";"925 6th st se,Minneapolis,MN";44.985;-93.24;3;3;"Marcy Holmes";"University";4
162;"Howe";"2018-04-17 00:00:00";"3709 18th av s,Minneapolis,MN";44.936;-93.248;3;9;"Powderhorn Park";"Powderhorn";6
163;"Howe";"2018-04-17 00:00:00";"2011 pleasant ave,Minneapolis,MN";44.962;-93.283;3;10;"Whittier";"Powderhorn";3
164;"Howe";"2018-04-17 00:00:00";"2123 dupont Ave n ,Minneapolis,MN";45.001;-93.293;3;5;"Hawthorne";"Near North";1
165;"Howe";"2018-04-17 00:00:00";"3137 FREMONT AV S,Minneapolis,MN";44.945;-93.295;3;10;"CARAG";"Calhoun Isle";5
166;"Howe";"2018-04-17 00:00:00";"325 clifton ave,Minneapolis,MN";44.966;-93.284;3;7;"Loring Park";"Central";3
167;"Howe";"2018-04-17 00:00:00";"3713 18th av s,Minneapolis,MN";44.936;-93.248;3;9;"Powderhorn Park";"Powderhorn";6
168;"Howe";"2018-04-17 00:00:00";"2921 aldrich ave n ,Minneapolis,MN";45.01;-93.29;3;5;"Hawthorne";"Near North";1
169;"Howe";"2018-04-17 00:00:00";"1309 33RD ST W,Minneapolis,MN";44.943;-93.296;3;10;"CARAG";"Calhoun Isle";5
170;"Howe";"2018-04-17 00:00:00";"325 7th st se,Minneapolis,MN";44.99;-93.248;3;3;"Marcy Holmes";"University";4
171;"Howe";"2018-04-17 00:00:00";"323 clifton ave,Minneapolis,MN";44.966;-93.284;3;7;"Loring Park";"Central";3
172;"Howe";"2018-04-17 00:00:00";"1113 winter st ne,Minneapolis,MN";44.993;-93.236;3;1;"Mid - City Industrial";"University";2
173;"Howe";"2018-04-17 00:00:00";"2905 39th st e,Minneapolis,MN";44.932;-93.231;3;12;"Standish";"Powderhorn";6
174;"Howe";"2018-04-17 00:00:00";"1239 LOGAN AVE N,Minneapolis,MN";44.991;-93.303;3;5;"Near - North";"Near North";1
175;"Howe";"2018-04-17 00:00:00";"1729 jackson st ne,Minneapolis,MN";45.006;-93.249;3;1;"Logan Park";"Northeast";2
176;"Howe";"2018-04-17 00:00:00";"2405 Pillsbury Ave S,Minneapolis,MN";44.959;-93.281;3;10;"Whittier";"Powderhorn";3
177;"Howe";"2018-04-17 00:00:00";"609 9 1/2 ave se,Minneapolis,MN";44.987;-93.257;3;3;"Nicollet Island - East Bank";"University";4
178;"Howe";"2018-04-17 00:00:00";"617 Morgan Ave N,Minneapolis,MN";44.985;-93.305;3;5;"Near - North";"Near North";1
179;"Howe";"2018-04-17 00:00:00";"2303 quincy st ne,Minneapolis,MN";45.011;-93.251;3;1;"Holland";"Northeast";2
180;"Howe";"2018-04-17 00:00:00";"1919 Stevens av s,Minneapolis,MN";44.963;-93.275;3;6;"Steven's Square - Loring Heights";"Central";3
181;"Howe";"2018-04-17 00:00:00";"705 11th ave se,Minneapolis,MN";44.985;-93.238;3;3;"Marcy Holmes";"University";4
182;"Howe";"2018-04-17 00:00:00";"3203 Emerson ave s ,Minneapolis,MN";44.944;-93.294;3;10;"CARAG";"Calhoun Isle";5
183;"Howe";"2018-04-17 00:00:00";"545 9 1/2 ave se ,Minneapolis,MN";44.987;-93.257;3;3;"Nicollet Island - East Bank";"University";4
184;"Howe";"2018-04-17 00:00:00";"3205 32nd st,Minneapolis,MN";44.945;-93.206;3;2;"Cooper";"Longfellow";6
185;"Howe";"2018-04-17 00:00:00";"2317 32nd st,Minneapolis,MN";44.945;-93.238;3;9;"Corcoran";"Powderhorn";6
186;"Howe";"2018-04-17 00:00:00";"217 Humboldt ave n,Minneapolis,MN";44.978;-93.299;3;5;"Harrison";"Near North";3
187;"Howe";"2018-04-17 00:00:00";"211 girard ave,Minneapolis,MN";44.978;-93.298;3;5;"Harrison";"Near North";3
188;"Howe";"2018-04-17 00:00:00";"907 Morgan ave n ,Minneapolis,MN";44.987;-93.305;3;5;"Near - North";"Near North";1
189;"Howe";"2018-04-17 00:00:00";"1013 12TH AVE SE,Minneapolis,MN";44.988;-93.235;3;2;"Como";"University";4
190;"Howe";"2018-04-17 00:00:00";"803 Logan Ave N,Minneapolis,MN";44.986;-93.304;3;5;"Near - North";"Near North";1
191;"Howe";"2018-04-17 00:00:00";"3127 Fremont ave s,Minneapolis,MN";44.946;-93.295;3;10;"CARAG";"Calhoun Isle";5
192;"Howe";"2018-04-17 00:00:00";"2311 pillsbury ave s,Minneapolis,MN";44.96;-93.281;3;10;"Whittier";"Powderhorn";3
193;"Howe";"2018-04-17 00:00:00";"917 Morgan ave n ,Minneapolis,MN";44.987;-93.305;3;5;"Near - North";"Near North";1
194;"Howe";"2018-04-17 00:00:00";"1227 6th ave se ,Minneapolis,MN";44.99;-93.243;3;3;"Marcy Holmes";"University";4
195;"Howe";"2018-04-17 00:00:00";"2619 Colfax Ave n ,Minneapolis,MN";45.007;-93.292;3;5;"Hawthorne";"Near North";1
196;"Howe";"2018-04-17 00:00:00";"1421 SPRUCE PLACE,Minneapolis,MN";44.968;-93.28;3;7;"Loring Park";"Central";3
197;"Howe";"2018-04-17 00:00:00";"2635 dupont Ave n ,Minneapolis,MN";45.007;-93.293;3;5;"Hawthorne";"Near North";1
198;"Howe";"2018-04-17 00:00:00";"2205 Pillsbury ave ,Minneapolis,MN";44.961;-93.281;3;10;"Whittier";"Powderhorn";3
