"FID";"snow_emergency_name";"citation";"service_date";"address";"latitude";"longitude";"day_id";"ordinance_id";"ordinance_desc";"ward";"neighborhood";"community";"tow_district"
4048;"Howe";271118336918;"2018-04-16 00:00:00";"2108 35TH AVE N";45.019;-93.306;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Folwell";"Camden";1
4049;"Howe";271118392993;"2018-04-16 00:00:00";"3658 5TH ST NE";45.035;-93.26;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Columbia Park";"Northeast";2
4050;"Howe";271118392978;"2018-04-16 00:00:00";"4130 41ST AVE S";44.928;-93.214;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";12;"Hiawatha";"Longfellow";6
4051;"Howe";271118393626;"2018-04-16 00:00:00";"1404 14TH AVE N";44.993;-93.298;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Near - North";"Near North";1
4052;"Howe";271118394484;"2018-04-16 00:00:00";"810 26TH AVE NE";45.015;-93.25;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Holland";"Northeast";2
4053;"Howe";271118386561;"2018-04-16 00:00:00";"2202 BUTLER PL";44.965;-93.241;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Cedar Riverside";"University";4
4054;"Howe";271118392266;"2018-04-16 00:00:00";"1118 21ST AVE N";45.0;-93.295;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Jordan";"Near North";1
4055;"Howe";271118392260;"2018-04-16 00:00:00";"4416 BRYANT AVE N";45.035;-93.291;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4056;"Howe";271118384350;"2018-04-16 00:00:00";"5740 24TH AVE S";44.899;-93.237;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";11;"Wenonah";"Nokomis";6
4057;"Howe";271118335463;"2018-04-16 00:00:00";"3710 45TH ST W";44.922;-93.327;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";13;"Linden Hills";"Southwest";5
4058;"Howe";271118360626;"2018-04-16 00:00:00";"2700 ESSEX ST SE";44.97;-93.22;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4059;"Howe";271118396795;"2018-04-16 00:00:00";"2106 NORTH FRONTAGE ROAD";44.985;-93.309;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Willard - Hay";"Near North";1
4060;"Howe";271118394485;"2018-04-16 00:00:00";"820 26TH AVE NE";45.015;-93.25;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Holland";"Northeast";2
4061;"Howe";271118392262;"2018-04-16 00:00:00";"4422 BRYANT AVE N";45.036;-93.291;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4062;"Howe";271118392261;"2018-04-16 00:00:00";"4420 BRYANT AVE N";45.036;-93.291;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4063;"Howe";271118390643;"2018-04-16 00:00:00";"2820 16TH AVE S";44.951;-93.251;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";9;"East Phillips";"Phillips";3
4064;"Howe";271118392979;"2018-04-16 00:00:00";"4400 41ST AVE S";44.923;-93.214;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";12;"Hiawatha";"Longfellow";6
4065;"Howe";271118360627;"2018-04-16 00:00:00";"2702 ESSEX ST SE";44.97;-93.22;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4066;"Howe";271118396796;"2018-04-16 00:00:00";"2110 NORTH FRONTAGE ROAD";44.985;-93.309;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Willard - Hay";"Near North";1
4067;"Howe";271118393493;"2018-04-16 00:00:00";"2004 GARFIELD AVE S";44.962;-93.287;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4068;"Howe";271118384351;"2018-04-16 00:00:00";"5738 24TH AVE S";44.898;-93.237;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";11;"Wenonah";"Nokomis";6
4069;"Howe";271118388243;"2018-04-16 00:00:00";"410 39TH ST E";44.932;-93.27;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";8;"Bryant";"Powderhorn";5
4070;"Howe";271118396797;"2018-04-16 00:00:00";"2116 NORTH FRONTAGE ROAD";44.985;-93.309;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Willard - Hay";"Near North";1
4071;"Howe";271118392267;"2018-04-16 00:00:00";"1120 21ST AVE N";45.0;-93.295;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Jordan";"Near North";1
4072;"Howe";271118336919;"2018-04-16 00:00:00";"2122 35TH AVE N";45.019;-93.308;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Folwell";"Camden";1
4073;"Howe";271118392980;"2018-04-16 00:00:00";"4554 41ST AVE S";44.92;-93.214;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";12;"Hiawatha";"Longfellow";6
4074;"Howe";271118360628;"2018-04-16 00:00:00";"2704 ESSEX ST SE";44.97;-93.22;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4075;"Howe";271118392268;"2018-04-16 00:00:00";"1122 21ST AVE N";45.0;-93.295;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Jordan";"Near North";1
4076;"Howe";271118394486;"2018-04-16 00:00:00";"824 26TH AVE NE";45.015;-93.25;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Holland";"Northeast";2
4077;"Howe";271118392263;"2018-04-16 00:00:00";"4552 COLFAX AVE N";45.038;-93.292;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4078;"Howe";271118388244;"2018-04-16 00:00:00";"428 39TH ST E";44.932;-93.27;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";8;"Bryant";"Powderhorn";5
4079;"Howe";271118394487;"2018-04-16 00:00:00";"826 26TH AVE NE";45.015;-93.25;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Holland";"Northeast";2
4080;"Howe";271118393627;"2018-04-16 00:00:00";"1924 14TH AVE N";44.993;-93.305;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Willard - Hay";"Near North";1
4081;"Howe";271118393494;"2018-04-16 00:00:00";"2012 GARFIELD AVE S";44.962;-93.287;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4082;"Howe";271118392264;"2018-04-16 00:00:00";"4602 COLFAX AVE N";45.039;-93.292;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4083;"Howe";271118388156;"2018-04-16 00:00:00";"3406 BOARDMAN ST E";44.905;-93.223;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";12;"Morris Park";"Nokomis";6
4084;"Howe";271118360629;"2018-04-16 00:00:00";"2716 ESSEX ST SE";44.97;-93.219;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4085;"Howe";271118393628;"2018-04-16 00:00:00";"1922 14TH AVE N";44.993;-93.306;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Willard - Hay";"Near North";1
4086;"Howe";271118392269;"2018-04-16 00:00:00";"816 21ST AVE N";45.0;-93.29;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Hawthorne";"Near North";1
4087;"Howe";271118393881;"2018-04-16 00:00:00";"3524 PIERCE ST NE";45.032;-93.242;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Waite Park";"Northeast";2
4088;"Howe";271118393495;"2018-04-16 00:00:00";"2014 GARFIELD AVE S";44.962;-93.287;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4089;"Howe";271118392265;"2018-04-16 00:00:00";"4606 COLFAX AVE N";45.039;-93.292;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4090;"Howe";271118390644;"2018-04-16 00:00:00";"2920 16TH AVE S";44.949;-93.251;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";9;"East Phillips";"Phillips";3
4091;"Howe";271118360342;"2018-04-16 00:00:00";"4400 WASHBURN AVE S";44.923;-93.318;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";13;"Linden Hills";"Southwest";5
4092;"Howe";271118393647;"2018-04-16 00:00:00";"4610 COLFAX AVE N";45.039;-93.292;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4093;"Howe";271118393496;"2018-04-16 00:00:00";"2020 GARFIELD AVE S";44.962;-93.287;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4094;"Howe";271118396798;"2018-04-16 00:00:00";"2502 8TH AVE N";44.986;-93.312;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Willard - Hay";"Near North";1
4095;"Howe";271118336920;"2018-04-16 00:00:00";"2206 35TH AVE N";45.019;-93.309;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Cleveland";"Camden";1
4096;"Howe";271118392994;"2018-04-16 00:00:00";"3654 3RD ST NE";45.035;-93.264;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Columbia Park";"Northeast";2
4097;"Howe";271118335464;"2018-04-16 00:00:00";"3602 45TH ST W";44.922;-93.326;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";13;"Linden Hills";"Southwest";5
4098;"Howe";271118386562;"2018-04-16 00:00:00";"2204 BUTLER PL";44.964;-93.241;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";6;"Seward";"Longfellow";4
4099;"Howe";271118393839;"2018-04-16 00:00:00";"18 ARTHUR AVE SE";44.97;-93.215;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4100;"Howe";271118360630;"2018-04-16 00:00:00";"2718 ESSEX ST SE";44.97;-93.219;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4101;"Howe";271118396799;"2018-04-16 00:00:00";"2502 8TH AVE N";44.986;-93.312;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Willard - Hay";"Near North";1
4102;"Howe";271118392270;"2018-04-16 00:00:00";"810 21ST AVE N";45.0;-93.29;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Hawthorne";"Near North";1
4103;"Howe";271118393649;"2018-04-16 00:00:00";"4616 COLFAX AVE N";45.039;-93.292;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4104;"Howe";271118393648;"2018-04-16 00:00:00";"4614 COLFAX AVE N";45.039;-93.292;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4105;"Howe";271118388245;"2018-04-16 00:00:00";"410 40TH ST E";44.931;-93.27;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";8;"Bryant";"Powderhorn";5
4106;"Howe";271118393497;"2018-04-16 00:00:00";"2106 GARFIELD AVE S";44.962;-93.287;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4107;"Howe";271118386563;"2018-04-16 00:00:00";"2208 BUTLER PL";44.964;-93.24;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";6;"Seward";"Longfellow";4
4108;"Howe";271118393629;"2018-04-16 00:00:00";"2106 14TH AVE N";44.993;-93.308;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Willard - Hay";"Near North";1
4109;"Howe";271118392271;"2018-04-16 00:00:00";"808 21ST AVE N";45.0;-93.29;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Hawthorne";"Near North";1
4110;"Howe";271118388246;"2018-04-16 00:00:00";"340 40TH ST E";44.931;-93.27;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";8;"Bryant";"Powderhorn";5
4111;"Howe";271118393498;"2018-04-16 00:00:00";"2108 GARFIELD AVE S";44.962;-93.287;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4112;"Howe";271118392272;"2018-04-16 00:00:00";"806 21ST AVE N";45.0;-93.29;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Hawthorne";"Near North";1
4113;"Howe";271118393650;"2018-04-16 00:00:00";"4658 COLFAX AVE N";45.04;-93.292;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4114;"Howe";271118360343;"2018-04-16 00:00:00";"4448 WASHBURN AVE S";44.922;-93.318;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";13;"Linden Hills";"Southwest";5
4115;"Howe";271118393840;"2018-04-16 00:00:00";"112 SEYMOUR AVE";44.966;-93.213;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4116;"Howe";271118388247;"2018-04-16 00:00:00";"328 40TH ST E";44.931;-93.272;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";8;"Bryant";"Powderhorn";5
4117;"Howe";271118392273;"2018-04-16 00:00:00";"806 21ST AVE N";45.0;-93.29;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Hawthorne";"Near North";1
4118;"Howe";271118392995;"2018-04-16 00:00:00";"3632 2ND ST NE";45.035;-93.266;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";1;"Columbia Park";"Northeast";2
4119;"Howe";271118335465;"2018-04-16 00:00:00";"2806 45TH ST W";44.922;-93.315;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";13;"Linden Hills";"Southwest";5
4120;"Howe";271118386564;"2018-04-16 00:00:00";"2210 BUTLER PL";44.964;-93.241;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";6;"Seward";"Longfellow";4
4121;"Howe";271118393651;"2018-04-16 00:00:00";"4724 COLFAX AVE N";45.041;-93.292;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4122;"Howe";271118393499;"2018-04-16 00:00:00";"2628 GARFIELD AVE S";44.955;-93.287;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4123;"Howe";271118336921;"2018-04-16 00:00:00";"2520 36TH AVE N";45.02;-93.313;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Cleveland";"Camden";1
4124;"Howe";271118386565;"2018-04-16 00:00:00";"2214 BUTLER PL";44.964;-93.241;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";6;"Seward";"Longfellow";4
4125;"Howe";271118396800;"2018-04-16 00:00:00";"2210 OAK PARK AVE N";44.988;-93.309;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Willard - Hay";"Near North";1
4126;"Howe";271118392274;"2018-04-16 00:00:00";"702 21ST AVE N";45.0;-93.288;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Hawthorne";"Near North";1
4127;"Howe";271118396580;"2018-04-16 00:00:00";"4352 IRVING AVE N";45.035;-93.3;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Webber - Camden";"Camden";1
4128;"Howe";271118393500;"2018-04-16 00:00:00";"2732 GARFIELD AVE S";44.953;-93.287;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";10;"Whittier";"Powderhorn";3
4129;"Howe";271118360631;"2018-04-16 00:00:00";"608 ERIE ST SE";44.97;-93.224;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4130;"Howe";271118394777;"2018-04-16 00:00:00";"1406 6TH ST SE";44.982;-93.234;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";3;"Marcy Holmes";"University";4
4131;"Howe";271118396801;"2018-04-16 00:00:00";"2212 OAK PARK AVE N";44.988;-93.309;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Willard - Hay";"Near North";1
4132;"Howe";271118393652;"2018-04-16 00:00:00";"4838 COLFAX AVE N";45.043;-93.292;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";4;"Lind - Bohanon";"Camden";1
4133;"Howe";271118386566;"2018-04-16 00:00:00";"2220 BUTLER PL";44.964;-93.24;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";6;"Seward";"Longfellow";4
4134;"Howe";271118360009;"2018-04-16 00:00:00";"312 QUEEN AVE N";44.981;-93.31;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Harrison";"Near North";3
4135;"Howe";271118394778;"2018-04-16 00:00:00";"1408 6TH ST SE";44.982;-93.234;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";3;"Marcy Holmes";"University";4
4136;"Howe";271118386567;"2018-04-16 00:00:00";"2300 BUTLER PL";44.965;-93.236;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Cedar Riverside";"University";4
4137;"Howe";271118394779;"2018-04-16 00:00:00";"1410 6TH ST SE";44.982;-93.234;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";3;"Marcy Holmes";"University";4
4138;"Howe";271118392275;"2018-04-16 00:00:00";"624 21ST AVE N";45.0;-93.288;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Hawthorne";"Near North";1
4139;"Howe";271118360632;"2018-04-16 00:00:00";"614 ERIE ST SE";44.97;-93.224;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4140;"Howe";271118360010;"2018-04-16 00:00:00";"310 QUEEN AVE N";44.98;-93.31;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Harrison";"Near North";3
4141;"Howe";271118393630;"2018-04-16 00:00:00";"2718 14TH AVE N";44.993;-93.316;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Willard - Hay";"Near North";1
4142;"Howe";271118384352;"2018-04-16 00:00:00";"5726 20TH AVE S";44.899;-93.244;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";11;"Wenonah";"Nokomis";6
4143;"Howe";271118360633;"2018-04-16 00:00:00";"616 ERIE ST SE";44.97;-93.224;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";2;"Prospect Park - East River Road";"University";4
4144;"Howe";271118360011;"2018-04-16 00:00:00";"308 QUEEN AVE N";44.98;-93.31;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";5;"Harrison";"Near North";3
4145;"Howe";271118394780;"2018-04-16 00:00:00";"1420 6TH ST SE";44.982;-93.233;2;"478.1000(b)";"Snow emergency parking restrictions - even number address";3;"Marcy Holmes";"University";4
